"vax_first"	"vax_full"	"vax_booster"	"teryt"	"date"
257	120	0	"t0201"	"20210608"
292	195	0	"t0202"	"20210608"
180	80	0	"t0203"	"20210608"
15	10	0	"t0204"	"20210608"
145	140	0	"t0205"	"20210608"
306	228	0	"t0206"	"20210608"
202	26	0	"t0207"	"20210608"
321	252	0	"t0208"	"20210608"
183	50	0	"t0209"	"20210608"
172	99	0	"t0210"	"20210608"
1224	1023	0	"t0211"	"20210608"
59	58	0	"t0212"	"20210608"
172	128	0	"t0213"	"20210608"
157	98	0	"t0214"	"20210608"
514	442	0	"t0215"	"20210608"
100	0	0	"t0216"	"20210608"
248	179	0	"t0217"	"20210608"
102	102	0	"t0218"	"20210608"
94	44	0	"t0219"	"20210608"
181	175	0	"t0220"	"20210608"
90	90	0	"t0221"	"20210608"
64	13	0	"t0222"	"20210608"
310	8	0	"t0223"	"20210608"
146	142	0	"t0224"	"20210608"
245	174	0	"t0225"	"20210608"
200	180	0	"t0226"	"20210608"
216	200	0	"t0261"	"20210608"
905	818	0	"t0262"	"20210608"
8429	3687	0	"t0264"	"20210608"
1191	897	0	"t0265"	"20210608"
394	359	0	"t0401"	"20210608"
475	277	0	"t0402"	"20210608"
105	95	0	"t0403"	"20210608"
70	70	0	"t0404"	"20210608"
5	0	0	"t0405"	"20210608"
107	107	0	"t0406"	"20210608"
653	479	0	"t0407"	"20210608"
102	99	0	"t0408"	"20210608"
85	85	0	"t0409"	"20210608"
98	14	0	"t0410"	"20210608"
80	80	0	"t0411"	"20210608"
207	78	0	"t0412"	"20210608"
436	435	0	"t0413"	"20210608"
486	408	0	"t0414"	"20210608"
85	50	0	"t0415"	"20210608"
168	137	0	"t0416"	"20210608"
89	89	0	"t0417"	"20210608"
152	122	0	"t0418"	"20210608"
269	134	0	"t0419"	"20210608"
1941	1747	0	"t0461"	"20210608"
398	166	0	"t0462"	"20210608"
1099	473	0	"t0463"	"20210608"
510	241	0	"t0464"	"20210608"
226	57	0	"t0601"	"20210608"
191	149	0	"t0602"	"20210608"
128	85	0	"t0603"	"20210608"
144	121	0	"t0604"	"20210608"
73	14	0	"t0605"	"20210608"
333	247	0	"t0606"	"20210608"
304	287	0	"t0607"	"20210608"
105	94	0	"t0608"	"20210608"
427	217	0	"t0609"	"20210608"
81	81	0	"t0610"	"20210608"
199	141	0	"t0611"	"20210608"
206	193	0	"t0612"	"20210608"
171	147	0	"t0613"	"20210608"
255	151	0	"t0614"	"20210608"
86	43	0	"t0615"	"20210608"
197	138	0	"t0616"	"20210608"
259	164	0	"t0617"	"20210608"
354	335	0	"t0618"	"20210608"
121	110	0	"t0619"	"20210608"
81	80	0	"t0620"	"20210608"
428	304	0	"t0661"	"20210608"
561	315	0	"t0662"	"20210608"
3172	2151	0	"t0663"	"20210608"
829	824	0	"t0664"	"20210608"
54	54	0	"t0801"	"20210608"
100	99	0	"t0802"	"20210608"
441	434	0	"t0803"	"20210608"
149	46	0	"t0804"	"20210608"
155	98	0	"t0805"	"20210608"
201	104	0	"t0806"	"20210608"
50	50	0	"t0807"	"20210608"
12	2	0	"t0808"	"20210608"
122	22	0	"t0809"	"20210608"
266	191	0	"t0810"	"20210608"
779	721	0	"t0811"	"20210608"
18	18	0	"t0812"	"20210608"
1112	970	0	"t0861"	"20210608"
717	439	0	"t0862"	"20210608"
426	187	0	"t1001"	"20210608"
263	257	0	"t1002"	"20210608"
30	29	0	"t1003"	"20210608"
284	196	0	"t1004"	"20210608"
181	171	0	"t1005"	"20210608"
61	61	0	"t1006"	"20210608"
531	343	0	"t1007"	"20210608"
249	215	0	"t1008"	"20210608"
10	10	0	"t1009"	"20210608"
3	3	0	"t1010"	"20210608"
243	221	0	"t1011"	"20210608"
192	157	0	"t1012"	"20210608"
193	30	0	"t1013"	"20210608"
429	173	0	"t1014"	"20210608"
416	399	0	"t1016"	"20210608"
90	76	0	"t1017"	"20210608"
138	137	0	"t1018"	"20210608"
24	24	0	"t1019"	"20210608"
285	201	0	"t1020"	"20210608"
22	17	0	"t1021"	"20210608"
5043	3397	0	"t1061"	"20210608"
160	84	0	"t1062"	"20210608"
441	356	0	"t1063"	"20210608"
454	85	0	"t1201"	"20210608"
360	122	0	"t1202"	"20210608"
685	216	0	"t1203"	"20210608"
98	69	0	"t1204"	"20210608"
413	256	0	"t1205"	"20210608"
467	370	0	"t1206"	"20210608"
294	229	0	"t1207"	"20210608"
181	93	0	"t1208"	"20210608"
590	413	0	"t1209"	"20210608"
433	202	0	"t1210"	"20210608"
361	350	0	"t1211"	"20210608"
494	342	0	"t1212"	"20210608"
548	154	0	"t1213"	"20210608"
223	218	0	"t1215"	"20210608"
64	31	0	"t1216"	"20210608"
222	210	0	"t1217"	"20210608"
466	133	0	"t1218"	"20210608"
357	236	0	"t1219"	"20210608"
9629	4571	0	"t1261"	"20210608"
564	276	0	"t1262"	"20210608"
290	235	0	"t1263"	"20210608"
60	24	0	"t1402"	"20210608"
298	196	0	"t1403"	"20210608"
50	50	0	"t1404"	"20210608"
405	109	0	"t1405"	"20210608"
462	416	0	"t1406"	"20210608"
118	72	0	"t1407"	"20210608"
143	142	0	"t1408"	"20210608"
101	95	0	"t1409"	"20210608"
60	0	0	"t1410"	"20210608"
94	94	0	"t1411"	"20210608"
633	285	0	"t1412"	"20210608"
197	170	0	"t1413"	"20210608"
847	464	0	"t1414"	"20210608"
176	130	0	"t1415"	"20210608"
58	33	0	"t1416"	"20210608"
