"vax_first"	"vax_full"	"vax_booster"	"teryt"	"date"
11	0	11	"t0201"	"20240301"
12	0	12	"t0202"	"20240301"
8	0	8	"t0203"	"20240301"
14	0	14	"t0208"	"20240301"
10	0	10	"t0212"	"20240301"
8	0	8	"t0213"	"20240301"
2	0	2	"t0215"	"20240301"
10	0	10	"t0217"	"20240301"
5	0	5	"t0218"	"20240301"
7	0	7	"t0219"	"20240301"
3	0	3	"t0220"	"20240301"
3	0	3	"t0221"	"20240301"
15	0	15	"t0222"	"20240301"
41	0	41	"t0223"	"20240301"
2	0	2	"t0261"	"20240301"
25	0	25	"t0262"	"20240301"
59	0	59	"t0264"	"20240301"
22	0	22	"t0265"	"20240301"
19	0	19	"t0402"	"20240301"
17	0	17	"t0403"	"20240301"
44	0	44	"t0404"	"20240301"
5	0	5	"t0407"	"20240301"
4	0	4	"t0410"	"20240301"
30	0	30	"t0412"	"20240301"
1	0	1	"t0418"	"20240301"
44	0	44	"t0419"	"20240301"
46	0	46	"t0461"	"20240301"
9	0	9	"t0463"	"20240301"
31	0	31	"t0464"	"20240301"
9	0	9	"t0607"	"20240301"
1	0	1	"t0608"	"20240301"
6	0	6	"t0614"	"20240301"
5	0	5	"t0615"	"20240301"
5	0	5	"t0617"	"20240301"
6	0	6	"t0619"	"20240301"
29	0	29	"t0662"	"20240301"
60	0	60	"t0663"	"20240301"
5	0	5	"t0664"	"20240301"
1	0	1	"t0801"	"20240301"
4	0	4	"t0802"	"20240301"
10	0	10	"t0804"	"20240301"
2	0	2	"t0811"	"20240301"
2	0	2	"t1004"	"20240301"
7	0	7	"t1008"	"20240301"
36	0	36	"t1014"	"20240301"
49	0	49	"t1020"	"20240301"
79	0	79	"t1061"	"20240301"
17	0	17	"t1062"	"20240301"
2	0	2	"t1201"	"20240301"
30	0	30	"t1206"	"20240301"
6	0	6	"t1207"	"20240301"
55	0	55	"t1208"	"20240301"
9	0	9	"t1209"	"20240301"
13	0	13	"t1210"	"20240301"
3	0	3	"t1213"	"20240301"
33	0	33	"t1215"	"20240301"
7	0	7	"t1217"	"20240301"
4	0	4	"t1219"	"20240301"
102	0	102	"t1261"	"20240301"
3	0	3	"t1262"	"20240301"
28	0	28	"t1263"	"20240301"
8	0	8	"t1402"	"20240301"
7	0	7	"t1405"	"20240301"
38	0	38	"t1408"	"20240301"
2	0	2	"t1409"	"20240301"
1	0	1	"t1412"	"20240301"
5	0	5	"t1417"	"20240301"
23	0	23	"t1418"	"20240301"
7	0	7	"t1420"	"20240301"
4	0	4	"t1421"	"20240301"
5	0	5	"t1422"	"20240301"
1	0	1	"t1425"	"20240301"
1	0	1	"t1427"	"20240301"
17	0	17	"t1432"	"20240301"
2	0	2	"t1433"	"20240301"
21	0	21	"t1434"	"20240301"
17	0	17	"t1462"	"20240301"
3	0	3	"t1464"	"20240301"
204	0	201	"t1465"	"20240301"
29	0	29	"t1603"	"20240301"
13	0	13	"t1604"	"20240301"
4	0	4	"t1815"	"20240301"
5	0	5	"t1818"	"20240301"
51	0	51	"t1862"	"20240301"
16	0	16	"t1863"	"20240301"
5	0	5	"t2001"	"20240301"
