"new_cases"	"deaths"	"teryt"	"date"
1	0	"t0206"	"20241028"
1	0	"t1016"	"20241028"
2	0	"t1061"	"20241028"
4	0	"t1206"	"20241028"
1	0	"t1215"	"20241028"
1	0	"t1261"	"20241028"
1	0	"t1409"	"20241028"
1	0	"t1412"	"20241028"
1	0	"t1433"	"20241028"
1	0	"t1609"	"20241028"
1	0	"t2002"	"20241028"
1	0	"t2008"	"20241028"
1	0	"t2010"	"20241028"
1	0	"t2205"	"20241028"
2	0	"t2461"	"20241028"
1	0	"t2479"	"20241028"
1	0	"t2602"	"20241028"
1	0	"t2605"	"20241028"
1	0	"t2611"	"20241028"
1	0	"t3019"	"20241028"
1	0	"t3207"	"20241028"
1	0	NA	"20241028"
