"vax_first"	"vax_full"	"vax_booster"	"teryt"	"date"
18	2	0	"t0201"	"20210206"
101	93	0	"t0202"	"20210206"
143	77	0	"t0203"	"20210206"
18	0	0	"t0205"	"20210206"
62	2	0	"t0206"	"20210206"
238	156	0	"t0208"	"20210206"
12	0	0	"t0209"	"20210206"
66	42	0	"t0210"	"20210206"
450	141	0	"t0211"	"20210206"
30	12	0	"t0212"	"20210206"
9	1	0	"t0213"	"20210206"
170	122	0	"t0214"	"20210206"
168	92	0	"t0215"	"20210206"
30	0	0	"t0216"	"20210206"
24	0	0	"t0217"	"20210206"
6	0	0	"t0218"	"20210206"
124	102	0	"t0219"	"20210206"
148	141	0	"t0220"	"20210206"
96	0	0	"t0221"	"20210206"
77	50	0	"t0222"	"20210206"
35	0	0	"t0223"	"20210206"
232	76	0	"t0225"	"20210206"
18	0	0	"t0226"	"20210206"
10	0	0	"t0261"	"20210206"
152	119	0	"t0262"	"20210206"
2073	1429	0	"t0264"	"20210206"
524	169	0	"t0265"	"20210206"
67	24	0	"t0401"	"20210206"
48	24	0	"t0402"	"20210206"
89	1	0	"t0404"	"20210206"
24	0	0	"t0405"	"20210206"
180	150	0	"t0407"	"20210206"
6	0	0	"t0408"	"20210206"
66	38	0	"t0409"	"20210206"
35	35	0	"t0410"	"20210206"
66	40	0	"t0411"	"20210206"
48	18	0	"t0413"	"20210206"
48	29	0	"t0414"	"20210206"
78	0	0	"t0415"	"20210206"
42	0	0	"t0417"	"20210206"
6	0	0	"t0418"	"20210206"
42	42	0	"t0419"	"20210206"
579	446	0	"t0461"	"20210206"
467	205	0	"t0463"	"20210206"
60	60	0	"t0464"	"20210206"
61	0	0	"t0601"	"20210206"
66	56	0	"t0602"	"20210206"
17	0	0	"t0603"	"20210206"
78	41	0	"t0604"	"20210206"
138	88	0	"t0605"	"20210206"
72	50	0	"t0606"	"20210206"
66	0	0	"t0607"	"20210206"
137	136	0	"t0608"	"20210206"
115	21	0	"t0609"	"20210206"
6	0	0	"t0610"	"20210206"
94	21	0	"t0611"	"20210206"
13	7	0	"t0612"	"20210206"
156	88	0	"t0613"	"20210206"
162	65	0	"t0614"	"20210206"
108	84	0	"t0615"	"20210206"
36	36	0	"t0616"	"20210206"
42	24	0	"t0617"	"20210206"
120	102	0	"t0618"	"20210206"
60	44	0	"t0619"	"20210206"
87	0	0	"t0620"	"20210206"
201	92	0	"t0661"	"20210206"
102	79	0	"t0662"	"20210206"
1222	774	0	"t0663"	"20210206"
60	41	0	"t0664"	"20210206"
23	17	0	"t0801"	"20210206"
83	50	0	"t0802"	"20210206"
12	0	0	"t0803"	"20210206"
102	90	0	"t0804"	"20210206"
6	0	0	"t0805"	"20210206"
48	47	0	"t0806"	"20210206"
6	0	0	"t0807"	"20210206"
73	45	0	"t0808"	"20210206"
6	0	0	"t0809"	"20210206"
42	36	0	"t0810"	"20210206"
154	142	0	"t0811"	"20210206"
36	1	0	"t0812"	"20210206"
203	190	0	"t0861"	"20210206"
148	88	0	"t0862"	"20210206"
92	37	0	"t1001"	"20210206"
39	30	0	"t1002"	"20210206"
48	36	0	"t1003"	"20210206"
78	59	0	"t1004"	"20210206"
227	100	0	"t1005"	"20210206"
6	0	0	"t1006"	"20210206"
135	94	0	"t1008"	"20210206"
12	0	0	"t1009"	"20210206"
7	0	0	"t1010"	"20210206"
6	0	0	"t1011"	"20210206"
192	163	0	"t1012"	"20210206"
30	21	0	"t1013"	"20210206"
6	0	0	"t1014"	"20210206"
15	13	0	"t1016"	"20210206"
134	85	0	"t1017"	"20210206"
12	0	0	"t1018"	"20210206"
65	1	0	"t1019"	"20210206"
36	2	0	"t1020"	"20210206"
37	37	0	"t1021"	"20210206"
1267	1002	0	"t1061"	"20210206"
125	105	0	"t1062"	"20210206"
103	75	0	"t1063"	"20210206"
24	0	0	"t1201"	"20210206"
48	0	0	"t1202"	"20210206"
132	9	0	"t1203"	"20210206"
6	0	0	"t1204"	"20210206"
104	3	0	"t1205"	"20210206"
123	17	0	"t1206"	"20210206"
90	77	0	"t1207"	"20210206"
166	55	0	"t1208"	"20210206"
91	48	0	"t1209"	"20210206"
24	12	0	"t1210"	"20210206"
133	87	0	"t1211"	"20210206"
157	113	0	"t1212"	"20210206"
126	72	0	"t1213"	"20210206"
35	0	0	"t1214"	"20210206"
112	1	0	"t1215"	"20210206"
42	11	0	"t1216"	"20210206"
42	1	0	"t1217"	"20210206"
24	10	0	"t1218"	"20210206"
18	0	0	"t1219"	"20210206"
2472	1368	0	"t1261"	"20210206"
155	96	0	"t1262"	"20210206"
132	126	0	"t1263"	"20210206"
14	0	0	"t1401"	"20210206"
198	159	0	"t1402"	"20210206"
77	38	0	"t1403"	"20210206"
174	95	0	"t1405"	"20210206"
102	29	0	"t1406"	"20210206"
35	0	0	"t1407"	"20210206"
18	0	0	"t1408"	"20210206"
19	3	0	"t1409"	"20210206"
7	5	0	"t1410"	"20210206"
61	0	0	"t1411"	"20210206"
126	0	0	"t1412"	"20210206"
89	22	0	"t1413"	"20210206"
412	368	0	"t1414"	"20210206"
30	0	0	"t1415"	"20210206"
148	124	0	"t1416"	"20210206"
216	180	0	"t1417"	"20210206"
224	190	0	"t1418"	"20210206"
65	0	0	"t1419"	"20210206"
124	68	0	"t1420"	"20210206"
251	226	0	"t1421"	"20210206"
6	0	0	"t1423"	"20210206"
1	0	0	"t1424"	"20210206"
71	0	0	"t1425"	"20210206"
30	0	0	"t1426"	"20210206"
41	11	0	"t1427"	"20210206"
6	0	0	"t1428"	"20210206"
12	0	0	"t1429"	"20210206"
42	42	0	"t1430"	"20210206"
90	30	0	"t1432"	"20210206"
18	0	0	"t1433"	"20210206"
113	69	0	"t1434"	"20210206"
34	0	0	"t1435"	"20210206"
6	0	0	"t1436"	"20210206"
12	0	0	"t1437"	"20210206"
50	3	0	"t1438"	"20210206"
243	5	0	"t1461"	"20210206"
420	85	0	"t1462"	"20210206"
430	107	0	"t1463"	"20210206"
215	71	0	"t1464"	"20210206"
5300	3629	0	"t1465"	"20210206"
54	0	0	"t1601"	"20210206"
171	124	0	"t1602"	"20210206"
150	122	0	"t1603"	"20210206"
6	0	0	"t1604"	"20210206"
12	7	0	"t1605"	"20210206"
6	0	0	"t1606"	"20210206"
78	32	0	"t1608"	"20210206"
24	0	0	"t1609"	"20210206"
11	0	0	"t1610"	"20210206"
468	317	0	"t1661"	"20210206"
119	72	0	"t1802"	"20210206"
191	95	0	"t1803"	"20210206"
12	0	0	"t1804"	"20210206"
156	29	0	"t1805"	"20210206"
106	0	0	"t1806"	"20210206"
85	13	0	"t1807"	"20210206"
18	0	0	"t1809"	"20210206"
67	28	0	"t1810"	"20210206"
133	47	0	"t1811"	"20210206"
38	0	0	"t1812"	"20210206"
24	0	0	"t1813"	"20210206"
66	46	0	"t1815"	"20210206"
31	0	0	"t1816"	"20210206"
60	50	0	"t1817"	"20210206"
211	151	0	"t1818"	"20210206"
30	0	0	"t1819"	"20210206"
93	77	0	"t1861"	"20210206"
155	87	0	"t1862"	"20210206"
969	544	0	"t1863"	"20210206"
42	41	0	"t1864"	"20210206"
36	0	0	"t2001"	"20210206"
30	12	0	"t2002"	"20210206"
48	0	0	"t2003"	"20210206"
87	0	0	"t2004"	"20210206"
8	0	0	"t2005"	"20210206"
60	14	0	"t2006"	"20210206"
78	0	0	"t2008"	"20210206"
6	0	0	"t2009"	"20210206"
37	1	0	"t2010"	"20210206"
6	0	0	"t2011"	"20210206"
12	0	0	"t2012"	"20210206"
4	0	0	"t2013"	"20210206"
6	0	0	"t2014"	"20210206"
549	453	0	"t2061"	"20210206"
102	78	0	"t2062"	"20210206"
121	61	0	"t2063"	"20210206"
18	0	0	"t2201"	"20210206"
101	1	0	"t2203"	"20210206"
6	0	0	"t2204"	"20210206"
120	117	0	"t2205"	"20210206"
42	33	0	"t2206"	"20210206"
96	72	0	"t2207"	"20210206"
30	0	0	"t2208"	"20210206"
18	0	0	"t2209"	"20210206"
30	0	0	"t2210"	"20210206"
27	14	0	"t2211"	"20210206"
5	0	0	"t2212"	"20210206"
179	162	0	"t2213"	"20210206"
96	77	0	"t2214"	"20210206"
53	4	0	"t2215"	"20210206"
47	0	0	"t2216"	"20210206"
880	759	0	"t2261"	"20210206"
274	118	0	"t2262"	"20210206"
24	23	0	"t2263"	"20210206"
5	0	0	"t2264"	"20210206"
36	0	0	"t2401"	"20210206"
18	12	0	"t2402"	"20210206"
180	86	0	"t2403"	"20210206"
