"new_cases"	"deaths"	"teryt"	"date"
1	0	"t0410"	"20241103"
1	0	"t0417"	"20241103"
1	0	"t0603"	"20241103"
1	0	"t0606"	"20241103"
1	0	"t0618"	"20241103"
1	0	"t0804"	"20241103"
1	0	"t1003"	"20241103"
1	0	"t1014"	"20241103"
1	0	"t1020"	"20241103"
2	0	"t1061"	"20241103"
2	0	"t1062"	"20241103"
1	0	"t1206"	"20241103"
1	0	"t1412"	"20241103"
2	0	"t1465"	"20241103"
1	0	"t1802"	"20241103"
1	0	"t1803"	"20241103"
1	0	"t2003"	"20241103"
2	0	"t2061"	"20241103"
1	0	"t2206"	"20241103"
1	0	"t2211"	"20241103"
2	0	"t2402"	"20241103"
1	0	"t2461"	"20241103"
1	0	"t2463"	"20241103"
1	0	"t2601"	"20241103"
1	0	"t2612"	"20241103"
1	0	"t2661"	"20241103"
1	0	"t2808"	"20241103"
1	0	"t3012"	"20241103"
1	0	"t3015"	"20241103"
1	0	"t3208"	"20241103"
2	0	"t3213"	"20241103"
1	0	"t3263"	"20241103"
2	0	NA	"20241103"
