"new_cases"	"deaths"	"teryt"	"date"
1	0	"t0211"	"20230411"
1	0	"t0213"	"20230411"
1	0	"t0214"	"20230411"
1	0	"t0219"	"20230411"
3	0	"t0264"	"20230411"
1	0	"t0402"	"20230411"
1	0	"t0403"	"20230411"
1	0	"t0406"	"20230411"
2	0	"t0461"	"20230411"
1	0	"t0609"	"20230411"
2	0	"t0616"	"20230411"
1	0	"t0617"	"20230411"
1	0	"t0618"	"20230411"
4	0	"t0663"	"20230411"
1	0	"t0802"	"20230411"
1	0	"t0804"	"20230411"
1	0	"t0811"	"20230411"
1	0	"t1006"	"20230411"
1	0	"t1008"	"20230411"
1	0	"t1012"	"20230411"
1	0	"t1013"	"20230411"
1	0	"t1016"	"20230411"
2	0	"t1061"	"20230411"
1	0	"t1062"	"20230411"
2	0	"t1202"	"20230411"
1	0	"t1219"	"20230411"
1	0	"t1261"	"20230411"
2	0	"t1402"	"20230411"
2	0	"t1403"	"20230411"
1	0	"t1410"	"20230411"
2	0	"t1411"	"20230411"
1	0	"t1412"	"20230411"
3	0	"t1413"	"20230411"
1	0	"t1417"	"20230411"
1	0	"t1421"	"20230411"
1	0	"t1422"	"20230411"
1	0	"t1425"	"20230411"
1	0	"t1430"	"20230411"
2	0	"t1434"	"20230411"
2	0	"t1464"	"20230411"
8	0	"t1465"	"20230411"
1	0	"t1601"	"20230411"
1	0	"t1604"	"20230411"
1	0	"t1609"	"20230411"
3	0	"t1661"	"20230411"
1	0	"t1801"	"20230411"
1	0	"t1803"	"20230411"
1	0	"t1806"	"20230411"
1	0	"t1813"	"20230411"
1	0	"t1817"	"20230411"
1	0	"t1818"	"20230411"
2	0	"t1863"	"20230411"
1	0	"t2002"	"20230411"
1	0	"t2003"	"20230411"
1	0	"t2008"	"20230411"
1	0	"t2011"	"20230411"
2	0	"t2013"	"20230411"
2	0	"t2061"	"20230411"
2	0	"t2201"	"20230411"
1	0	"t2206"	"20230411"
1	0	"t2214"	"20230411"
4	0	"t2261"	"20230411"
2	0	"t2401"	"20230411"
3	0	"t2404"	"20230411"
1	0	"t2407"	"20230411"
1	0	"t2410"	"20230411"
3	0	"t2417"	"20230411"
1	0	"t2465"	"20230411"
1	0	"t2467"	"20230411"
1	0	"t2468"	"20230411"
1	0	"t2478"	"20230411"
1	0	"t2608"	"20230411"
2	0	"t2609"	"20230411"
1	0	"t2611"	"20230411"
1	0	"t2803"	"20230411"
2	0	"t2807"	"20230411"
1	0	"t2810"	"20230411"
2	0	"t2813"	"20230411"
1	0	"t2814"	"20230411"
1	0	"t2861"	"20230411"
2	0	"t2862"	"20230411"
1	0	"t3002"	"20230411"
2	0	"t3020"	"20230411"
1	0	"t3021"	"20230411"
1	0	"t3024"	"20230411"
1	0	"t3031"	"20230411"
1	0	"t3064"	"20230411"
6	0	"t3262"	"20230411"
11	0	NA	"20230411"
