"vax_first"	"vax_full"	"vax_booster"	"teryt"	"date"
552	68	0	"t0201"	"20210416"
508	142	0	"t0202"	"20210416"
519	125	0	"t0203"	"20210416"
104	69	0	"t0204"	"20210416"
358	130	0	"t0205"	"20210416"
505	103	0	"t0206"	"20210416"
180	30	0	"t0207"	"20210416"
1188	303	0	"t0208"	"20210416"
370	93	0	"t0209"	"20210416"
193	41	0	"t0210"	"20210416"
920	95	0	"t0211"	"20210416"
351	83	0	"t0212"	"20210416"
373	83	0	"t0213"	"20210416"
304	119	0	"t0214"	"20210416"
466	182	0	"t0215"	"20210416"
261	74	0	"t0216"	"20210416"
406	79	0	"t0217"	"20210416"
158	52	0	"t0218"	"20210416"
869	175	0	"t0219"	"20210416"
589	246	0	"t0220"	"20210416"
123	49	0	"t0221"	"20210416"
295	82	0	"t0222"	"20210416"
777	247	0	"t0223"	"20210416"
639	58	0	"t0224"	"20210416"
319	119	0	"t0225"	"20210416"
214	35	0	"t0226"	"20210416"
694	111	0	"t0261"	"20210416"
377	76	0	"t0262"	"20210416"
7258	1091	0	"t0264"	"20210416"
1286	80	0	"t0265"	"20210416"
1496	287	0	"t0401"	"20210416"
535	94	0	"t0402"	"20210416"
681	113	0	"t0403"	"20210416"
246	47	0	"t0404"	"20210416"
214	34	0	"t0405"	"20210416"
133	33	0	"t0406"	"20210416"
849	102	0	"t0407"	"20210416"
337	144	0	"t0408"	"20210416"
219	19	0	"t0409"	"20210416"
329	36	0	"t0410"	"20210416"
422	70	0	"t0411"	"20210416"
226	58	0	"t0412"	"20210416"
584	125	0	"t0413"	"20210416"
346	89	0	"t0414"	"20210416"
252	68	0	"t0415"	"20210416"
253	68	0	"t0416"	"20210416"
194	35	0	"t0417"	"20210416"
551	181	0	"t0418"	"20210416"
367	30	0	"t0419"	"20210416"
3229	446	0	"t0461"	"20210416"
1184	52	0	"t0462"	"20210416"
735	294	0	"t0463"	"20210416"
579	118	0	"t0464"	"20210416"
717	141	0	"t0601"	"20210416"
481	154	0	"t0602"	"20210416"
400	106	0	"t0603"	"20210416"
291	54	0	"t0604"	"20210416"
283	70	0	"t0605"	"20210416"
212	88	0	"t0606"	"20210416"
522	217	0	"t0607"	"20210416"
383	121	0	"t0608"	"20210416"
1008	186	0	"t0609"	"20210416"
311	87	0	"t0610"	"20210416"
439	88	0	"t0611"	"20210416"
338	54	0	"t0612"	"20210416"
163	50	0	"t0613"	"20210416"
1252	144	0	"t0614"	"20210416"
234	113	0	"t0615"	"20210416"
385	161	0	"t0616"	"20210416"
344	97	0	"t0617"	"20210416"
519	176	0	"t0618"	"20210416"
387	188	0	"t0619"	"20210416"
606	221	0	"t0620"	"20210416"
532	98	0	"t0661"	"20210416"
417	62	0	"t0662"	"20210416"
3803	914	0	"t0663"	"20210416"
724	163	0	"t0664"	"20210416"
199	41	0	"t0801"	"20210416"
381	116	0	"t0802"	"20210416"
332	67	0	"t0803"	"20210416"
784	163	0	"t0804"	"20210416"
242	64	0	"t0805"	"20210416"
319	108	0	"t0806"	"20210416"
140	47	0	"t0807"	"20210416"
348	194	0	"t0808"	"20210416"
726	92	0	"t0809"	"20210416"
386	92	0	"t0810"	"20210416"
717	115	0	"t0811"	"20210416"
67	22	0	"t0812"	"20210416"
852	166	0	"t0861"	"20210416"
762	319	0	"t0862"	"20210416"
368	93	0	"t1001"	"20210416"
712	57	0	"t1002"	"20210416"
242	84	0	"t1003"	"20210416"
321	67	0	"t1004"	"20210416"
583	196	0	"t1005"	"20210416"
244	70	0	"t1006"	"20210416"
321	85	0	"t1007"	"20210416"
775	133	0	"t1008"	"20210416"
226	98	0	"t1009"	"20210416"
430	125	0	"t1010"	"20210416"
254	71	0	"t1011"	"20210416"
561	155	0	"t1012"	"20210416"
282	68	0	"t1013"	"20210416"
755	103	0	"t1014"	"20210416"
345	103	0	"t1015"	"20210416"
684	97	0	"t1016"	"20210416"
653	224	0	"t1017"	"20210416"
213	41	0	"t1018"	"20210416"
390	122	0	"t1019"	"20210416"
1022	246	0	"t1020"	"20210416"
279	84	0	"t1021"	"20210416"
5798	1145	0	"t1061"	"20210416"
357	79	0	"t1062"	"20210416"
657	168	0	"t1063"	"20210416"
435	207	0	"t1201"	"20210416"
421	84	0	"t1202"	"20210416"
705	167	0	"t1203"	"20210416"
363	92	0	"t1204"	"20210416"
570	124	0	"t1205"	"20210416"
1515	476	0	"t1206"	"20210416"
900	346	0	"t1207"	"20210416"
489	30	0	"t1208"	"20210416"
675	142	0	"t1209"	"20210416"
1204	301	0	"t1210"	"20210416"
1037	255	0	"t1211"	"20210416"
688	139	0	"t1212"	"20210416"
838	272	0	"t1213"	"20210416"
360	42	0	"t1214"	"20210416"
708	250	0	"t1215"	"20210416"
940	360	0	"t1216"	"20210416"
192	59	0	"t1217"	"20210416"
493	140	0	"t1218"	"20210416"
645	192	0	"t1219"	"20210416"
7254	959	0	"t1261"	"20210416"
378	87	0	"t1262"	"20210416"
446	144	0	"t1263"	"20210416"
290	58	0	"t1401"	"20210416"
574	119	0	"t1402"	"20210416"
588	177	0	"t1403"	"20210416"
315	53	0	"t1404"	"20210416"
926	157	0	"t1405"	"20210416"
1164	114	0	"t1406"	"20210416"
371	83	0	"t1407"	"20210416"
584	142	0	"t1408"	"20210416"
252	55	0	"t1409"	"20210416"
119	91	0	"t1410"	"20210416"
358	149	0	"t1411"	"20210416"
919	146	0	"t1412"	"20210416"
386	172	0	"t1413"	"20210416"
549	73	0	"t1414"	"20210416"
628	229	0	"t1415"	"20210416"
318	82	0	"t1416"	"20210416"
589	129	0	"t1417"	"20210416"
1173	207	0	"t1418"	"20210416"
741	183	0	"t1419"	"20210416"
285	64	0	"t1420"	"20210416"
427	65	0	"t1421"	"20210416"
341	158	0	"t1422"	"20210416"
231	121	0	"t1423"	"20210416"
491	135	0	"t1424"	"20210416"
382	160	0	"t1425"	"20210416"
493	210	0	"t1426"	"20210416"
434	173	0	"t1427"	"20210416"
765	94	0	"t1428"	"20210416"
477	133	0	"t1429"	"20210416"
129	10	0	"t1430"	"20210416"
840	143	0	"t1432"	"20210416"
490	70	0	"t1433"	"20210416"
884	187	0	"t1434"	"20210416"
399	95	0	"t1435"	"20210416"
182	31	0	"t1436"	"20210416"
316	57	0	"t1437"	"20210416"
330	58	0	"t1438"	"20210416"
650	135	0	"t1461"	"20210416"
845	288	0	"t1462"	"20210416"
1458	387	0	"t1463"	"20210416"
725	238	0	"t1464"	"20210416"
14450	2830	0	"t1465"	"20210416"
694	127	0	"t1601"	"20210416"
298	84	0	"t1602"	"20210416"
577	128	0	"t1603"	"20210416"
347	95	0	"t1604"	"20210416"
548	86	0	"t1605"	"20210416"
272	17	0	"t1606"	"20210416"
664	153	0	"t1607"	"20210416"
425	126	0	"t1608"	"20210416"
646	262	0	"t1609"	"20210416"
275	56	0	"t1610"	"20210416"
338	134	0	"t1611"	"20210416"
1258	512	0	"t1661"	"20210416"
74	28	0	"t1801"	"20210416"
314	56	0	"t1802"	"20210416"
399	114	0	"t1803"	"20210416"
265	28	0	"t1804"	"20210416"
442	211	0	"t1805"	"20210416"
57	36	0	"t1806"	"20210416"
610	241	0	"t1807"	"20210416"
420	95	0	"t1808"	"20210416"
262	14	0	"t1809"	"20210416"
450	139	0	"t1810"	"20210416"
813	131	0	"t1811"	"20210416"
272	64	0	"t1812"	"20210416"
287	105	0	"t1813"	"20210416"
334	122	0	"t1814"	"20210416"
262	88	0	"t1815"	"20210416"
657	407	0	"t1816"	"20210416"
183	43	0	"t1817"	"20210416"
740	201	0	"t1818"	"20210416"
281	113	0	"t1819"	"20210416"
140	41	0	"t1820"	"20210416"
76	1	0	"t1821"	"20210416"
395	110	0	"t1861"	"20210416"
247	141	0	"t1862"	"20210416"
3794	677	0	"t1863"	"20210416"
715	216	0	"t1864"	"20210416"
456	80	0	"t2001"	"20210416"
692	246	0	"t2002"	"20210416"
402	152	0	"t2003"	"20210416"
184	70	0	"t2004"	"20210416"
340	148	0	"t2005"	"20210416"
302	33	0	"t2006"	"20210416"
138	59	0	"t2007"	"20210416"
323	123	0	"t2008"	"20210416"
145	78	0	"t2009"	"20210416"
254	100	0	"t2010"	"20210416"
381	135	0	"t2011"	"20210416"
73	21	0	"t2012"	"20210416"
526	235	0	"t2013"	"20210416"
178	119	0	"t2014"	"20210416"
3118	581	0	"t2061"	"20210416"
346	103	0	"t2062"	"20210416"
392	119	0	"t2063"	"20210416"
526	90	0	"t2201"	"20210416"
704	162	0	"t2202"	"20210416"
347	110	0	"t2203"	"20210416"
354	106	0	"t2204"	"20210416"
674	204	0	"t2205"	"20210416"
504	104	0	"t2206"	"20210416"
448	36	0	"t2207"	"20210416"
388	149	0	"t2208"	"20210416"
160	0	0	"t2209"	"20210416"
