"vax_first"	"vax_full"	"vax_booster"	"teryt"	"date"
17	0	17	"t0201"	"20220511"
7	2	4	"t0202"	"20220511"
4	0	4	"t0203"	"20220511"
1	0	1	"t0205"	"20220511"
15	0	15	"t0206"	"20220511"
18	1	17	"t0208"	"20220511"
17	0	12	"t0210"	"20220511"
16	0	15	"t0211"	"20220511"
7	0	6	"t0212"	"20220511"
11	0	11	"t0213"	"20220511"
32	3	24	"t0214"	"20220511"
6	0	6	"t0215"	"20220511"
17	0	17	"t0219"	"20220511"
14	0	14	"t0220"	"20220511"
23	0	21	"t0223"	"20220511"
22	6	13	"t0224"	"20220511"
51	6	44	"t0225"	"20220511"
2	0	1	"t0226"	"20220511"
16	0	16	"t0261"	"20220511"
55	2	42	"t0262"	"20220511"
333	23	286	"t0264"	"20220511"
35	5	29	"t0265"	"20220511"
9	0	8	"t0401"	"20220511"
12	0	9	"t0402"	"20220511"
20	2	17	"t0403"	"20220511"
6	0	6	"t0404"	"20220511"
27	0	27	"t0405"	"20220511"
1	0	1	"t0406"	"20220511"
25	1	24	"t0407"	"20220511"
5	3	2	"t0408"	"20220511"
8	0	8	"t0409"	"20220511"
6	0	6	"t0410"	"20220511"
11	2	6	"t0414"	"20220511"
22	4	12	"t0415"	"20220511"
4	1	3	"t0416"	"20220511"
6	0	6	"t0417"	"20220511"
3	0	3	"t0418"	"20220511"
118	10	103	"t0461"	"20220511"
33	0	26	"t0462"	"20220511"
49	0	45	"t0463"	"20220511"
24	1	22	"t0464"	"20220511"
14	1	6	"t0602"	"20220511"
6	2	3	"t0604"	"20220511"
2	0	2	"t0605"	"20220511"
4	3	1	"t0607"	"20220511"
4	0	4	"t0608"	"20220511"
5	0	5	"t0609"	"20220511"
42	0	38	"t0611"	"20220511"
4	2	1	"t0612"	"20220511"
3	0	3	"t0613"	"20220511"
23	0	23	"t0614"	"20220511"
14	3	5	"t0616"	"20220511"
10	1	9	"t0617"	"20220511"
3	0	3	"t0619"	"20220511"
4	0	2	"t0661"	"20220511"
5	1	4	"t0662"	"20220511"
108	7	93	"t0663"	"20220511"
26	3	21	"t0664"	"20220511"
3	0	3	"t0801"	"20220511"
18	0	15	"t0802"	"20220511"
12	1	9	"t0804"	"20220511"
13	2	10	"t0806"	"20220511"
8	1	6	"t0809"	"20220511"
6	1	4	"t0810"	"20220511"
12	1	10	"t0811"	"20220511"
34	3	30	"t0861"	"20220511"
33	7	23	"t0862"	"20220511"
24	4	19	"t1001"	"20220511"
2	1	1	"t1002"	"20220511"
18	5	9	"t1003"	"20220511"
7	0	6	"t1004"	"20220511"
26	4	13	"t1007"	"20220511"
16	1	13	"t1008"	"20220511"
2	0	2	"t1010"	"20220511"
12	1	11	"t1012"	"20220511"
6	3	2	"t1014"	"20220511"
2	0	2	"t1015"	"20220511"
8	1	7	"t1017"	"20220511"
21	1	9	"t1019"	"20220511"
12	0	12	"t1020"	"20220511"
12	3	8	"t1021"	"20220511"
199	14	175	"t1061"	"20220511"
13	2	10	"t1062"	"20220511"
21	5	9	"t1063"	"20220511"
7	0	7	"t1201"	"20220511"
8	0	7	"t1202"	"20220511"
6	0	6	"t1203"	"20220511"
67	2	64	"t1206"	"20220511"
14	2	12	"t1207"	"20220511"
12	1	9	"t1209"	"20220511"
21	2	19	"t1210"	"20220511"
10	4	6	"t1211"	"20220511"
51	4	40	"t1212"	"20220511"
28	0	27	"t1213"	"20220511"
2	0	1	"t1214"	"20220511"
1	0	1	"t1215"	"20220511"
8	2	5	"t1217"	"20220511"
13	4	9	"t1218"	"20220511"
23	2	19	"t1219"	"20220511"
448	36	383	"t1261"	"20220511"
23	1	21	"t1262"	"20220511"
38	7	26	"t1263"	"20220511"
15	1	13	"t1402"	"20220511"
6	0	6	"t1405"	"20220511"
8	2	6	"t1406"	"20220511"
4	0	4	"t1407"	"20220511"
36	2	33	"t1408"	"20220511"
8	0	8	"t1411"	"20220511"
27	3	22	"t1412"	"20220511"
9	1	7	"t1414"	"20220511"
38	1	35	"t1417"	"20220511"
70	9	54	"t1418"	"20220511"
8	0	8	"t1419"	"20220511"
11	0	10	"t1420"	"20220511"
72	4	65	"t1421"	"20220511"
10	2	8	"t1423"	"20220511"
4	0	3	"t1424"	"20220511"
2	0	2	"t1425"	"20220511"
2	1	1	"t1427"	"20220511"
12	2	9	"t1428"	"20220511"
7	4	3	"t1430"	"20220511"
28	5	22	"t1432"	"20220511"
61	2	52	"t1434"	"20220511"
7	0	7	"t1438"	"20220511"
1	0	1	"t1461"	"20220511"
18	1	15	"t1462"	"20220511"
32	0	30	"t1463"	"20220511"
13	0	9	"t1464"	"20220511"
1114	43	903	"t1465"	"20220511"
4	0	4	"t1601"	"20220511"
22	1	19	"t1602"	"20220511"
16	3	11	"t1603"	"20220511"
16	0	15	"t1604"	"20220511"
4	1	2	"t1607"	"20220511"
14	3	11	"t1609"	"20220511"
20	0	17	"t1611"	"20220511"
15	0	15	"t1661"	"20220511"
13	1	11	"t1802"	"20220511"
19	1	18	"t1803"	"20220511"
20	3	15	"t1804"	"20220511"
1	0	1	"t1806"	"20220511"
15	1	9	"t1810"	"20220511"
5	0	5	"t1811"	"20220511"
8	0	8	"t1813"	"20220511"
4	1	3	"t1814"	"20220511"
5	1	4	"t1815"	"20220511"
16	0	15	"t1817"	"20220511"
9	0	8	"t1818"	"20220511"
8	0	7	"t1820"	"20220511"
15	0	12	"t1861"	"20220511"
6	0	5	"t1862"	"20220511"
69	8	47	"t1863"	"20220511"
14	0	13	"t1864"	"20220511"
12	0	12	"t2001"	"20220511"
5	1	4	"t2002"	"20220511"
1	0	1	"t2003"	"20220511"
1	0	0	"t2004"	"20220511"
5	0	5	"t2005"	"20220511"
5	1	4	"t2008"	"20220511"
12	0	11	"t2010"	"20220511"
13	1	9	"t2011"	"20220511"
12	0	9	"t2013"	"20220511"
78	7	60	"t2061"	"20220511"
15	1	13	"t2062"	"20220511"
5	0	5	"t2063"	"20220511"
4	1	2	"t2201"	"20220511"
19	1	18	"t2202"	"20220511"
4	0	4	"t2203"	"20220511"
62	8	49	"t2204"	"20220511"
21	2	18	"t2205"	"20220511"
5	0	5	"t2206"	"20220511"
2	0	2	"t2207"	"20220511"
30	0	26	"t2208"	"20220511"
2	0	2	"t2209"	"20220511"
1	0	1	"t2210"	"20220511"
10	3	6	"t2212"	"20220511"
9	0	9	"t2213"	"20220511"
4	0	4	"t2214"	"20220511"
43	6	34	"t2215"	"20220511"
266	23	224	"t2261"	"20220511"
56	4	48	"t2262"	"20220511"
8	0	7	"t2264"	"20220511"
49	3	44	"t2401"	"20220511"
18	0	15	"t2402"	"20220511"
31	4	22	"t2403"	"20220511"
5	0	2	"t2404"	"20220511"
55	6	41	"t2405"	"20220511"
19	1	10	"t2406"	"20220511"
1	0	1	"t2407"	"20220511"
14	0	14	"t2408"	"20220511"
13	1	12	"t2409"	"20220511"
8	0	8	"t2410"	"20220511"
2	0	2	"t2411"	"20220511"
34	3	30	"t2413"	"20220511"
1	0	1	"t2414"	"20220511"
28	9	14	"t2415"	"20220511"
24	3	17	"t2416"	"20220511"
31	4	26	"t2417"	"20220511"
58	3	46	"t2461"	"20220511"
54	5	41	"t2462"	"20220511"
24	2	20	"t2463"	"20220511"
114	14	89	"t2464"	"20220511"
28	0	28	"t2465"	"20220511"
28	2	22	"t2466"	"20220511"
20	1	18	"t2467"	"20220511"
24	4	16	"t2468"	"20220511"
132	13	109	"t2469"	"20220511"
40	5	33	"t2470"	"20220511"
3	1	2	"t2471"	"20220511"
39	4	30	"t2472"	"20220511"
14	2	12	"t2473"	"20220511"
23	4	19	"t2474"	"20220511"
49	0	43	"t2475"	"20220511"
4	1	2	"t2476"	"20220511"
23	1	21	"t2477"	"20220511"
50	5	38	"t2478"	"20220511"
10	0	10	"t2479"	"20220511"
6	1	4	"t2601"	"20220511"
2	2	0	"t2602"	"20220511"
39	6	24	"t2604"	"20220511"
6	0	6	"t2606"	"20220511"
27	1	26	"t2607"	"20220511"
2	0	0	"t2608"	"20220511"
14	0	13	"t2610"	"20220511"
47	2	39	"t2661"	"20220511"
11	0	11	"t2803"	"20220511"
19	0	17	"t2805"	"20220511"
29	0	29	"t2806"	"20220511"
17	1	16	"t2807"	"20220511"
13	0	13	"t2808"	"20220511"
3	0	1	"t2810"	"20220511"
8	0	7	"t2813"	"20220511"
3	0	3	"t2815"	"20220511"
28	2	25	"t2816"	"20220511"
19	0	19	"t2861"	"20220511"
33	0	33	"t2862"	"20220511"
14	4	8	"t3001"	"20220511"
3	0	2	"t3002"	"20220511"
9	1	8	"t3003"	"20220511"
6	1	5	"t3004"	"20220511"
8	1	7	"t3006"	"20220511"
1	0	0	"t3009"	"20220511"
9	1	8	"t3011"	"20220511"
2	0	2	"t3012"	"20220511"
11	1	6	"t3014"	"20220511"
17	1	16	"t3015"	"20220511"
7	0	5	"t3016"	"20220511"
6	0	6	"t3017"	"20220511"
1	0	1	"t3018"	"20220511"
19	3	15	"t3019"	"20220511"
3	0	2	"t3020"	"20220511"
95	3	85	"t3021"	"20220511"
5	0	5	"t3022"	"20220511"
1	1	0	"t3023"	"20220511"
4	0	3	"t3024"	"20220511"
5	0	4	"t3025"	"20220511"
3	1	2	"t3027"	"20220511"
5	0	5	"t3028"	"20220511"
13	1	11	"t3029"	"20220511"
6	0	6	"t3030"	"20220511"
18	4	14	"t3061"	"20220511"
20	2	16	"t3062"	"20220511"
19	1	18	"t3063"	"20220511"
201	11	154	"t3064"	"20220511"
3	2	1	"t3201"	"20220511"
21	2	18	"t3202"	"20220511"
14	0	14	"t3203"	"20220511"
22	2	19	"t3204"	"20220511"
10	0	10	"t3205"	"20220511"
38	2	35	"t3207"	"20220511"
14	0	13	"t3208"	"20220511"
13	1	12	"t3210"	"20220511"
5	0	5	"t3211"	"20220511"
11	3	6	"t3213"	"20220511"
16	1	14	"t3214"	"20220511"
2	0	2	"t3215"	"20220511"
