"new_cases"	"deaths"	"teryt"	"date"
1	0	"t0201"	"20210716"
1	0	"t0208"	"20210716"
1	0	"t0213"	"20210716"
1	0	"t0261"	"20210716"
3	0	"t0264"	"20210716"
1	0	"t0419"	"20210716"
1	0	"t0461"	"20210716"
1	0	"t0462"	"20210716"
1	0	"t0603"	"20210716"
2	0	"t0609"	"20210716"
1	1	"t0663"	"20210716"
1	0	"t0807"	"20210716"
1	0	"t1020"	"20210716"
2	0	"t1061"	"20210716"
1	0	"t1202"	"20210716"
2	0	"t1206"	"20210716"
1	0	"t1261"	"20210716"
0	1	"t1409"	"20210716"
1	0	"t1412"	"20210716"
2	0	"t1418"	"20210716"
1	4	"t1419"	"20210716"
2	0	"t1421"	"20210716"
0	1	"t1429"	"20210716"
1	0	"t1438"	"20210716"
7	0	"t1465"	"20210716"
1	0	"t1605"	"20210716"
1	0	"t1806"	"20210716"
2	0	"t1863"	"20210716"
1	0	"t2001"	"20210716"
1	0	"t2003"	"20210716"
1	0	"t2007"	"20210716"
3	0	"t2011"	"20210716"
3	0	"t2061"	"20210716"
1	0	"t2206"	"20210716"
0	1	"t2208"	"20210716"
1	0	"t2209"	"20210716"
1	0	"t2210"	"20210716"
1	0	"t2215"	"20210716"
1	0	"t2261"	"20210716"
1	0	"t2401"	"20210716"
2	0	"t2404"	"20210716"
2	0	"t2417"	"20210716"
1	0	"t2461"	"20210716"
2	0	"t2464"	"20210716"
0	1	"t2475"	"20210716"
1	0	"t2478"	"20210716"
1	0	"t2603"	"20210716"
0	1	"t2605"	"20210716"
1	0	"t2661"	"20210716"
1	0	"t2807"	"20210716"
1	0	"t2808"	"20210716"
1	0	"t2817"	"20210716"
0	2	"t2861"	"20210716"
1	0	"t3002"	"20210716"
1	0	"t3010"	"20210716"
1	0	"t3017"	"20210716"
1	0	"t3021"	"20210716"
1	0	"t3025"	"20210716"
1	0	"t3026"	"20210716"
7	2	"t3064"	"20210716"
1	0	"t3207"	"20210716"
1	0	"t3212"	"20210716"
5	0	"t3262"	"20210716"
5	0	NA	"20210716"
