"vax_first"	"vax_full"	"vax_booster"	"teryt"	"date"
1	0	1	"t0261"	"20240516"
2	0	2	"t0262"	"20240516"
13	1	12	"t0264"	"20240516"
1	0	1	"t0402"	"20240516"
4	0	4	"t0407"	"20240516"
2	0	2	"t0461"	"20240516"
3	0	3	"t0663"	"20240516"
1	0	1	"t0804"	"20240516"
2	0	2	"t1012"	"20240516"
1	0	1	"t1020"	"20240516"
1	0	1	"t1061"	"20240516"
13	0	13	"t1203"	"20240516"
1	0	1	"t1205"	"20240516"
10	0	10	"t1261"	"20240516"
1	0	1	"t1263"	"20240516"
1	0	1	"t1408"	"20240516"
1	0	1	"t1432"	"20240516"
6	0	6	"t1465"	"20240516"
1	0	1	"t1605"	"20240516"
2	0	2	"t1608"	"20240516"
2	0	2	"t1817"	"20240516"
1	0	1	"t2211"	"20240516"
3	0	3	"t2262"	"20240516"
2	0	2	"t2263"	"20240516"
1	0	1	"t2264"	"20240516"
1	0	1	"t2417"	"20240516"
9	0	9	"t2461"	"20240516"
2	0	2	"t2462"	"20240516"
3	0	3	"t2466"	"20240516"
4	1	0	"t2469"	"20240516"
1	0	1	"t2475"	"20240516"
1	0	1	"t2861"	"20240516"
1	0	1	"t3012"	"20240516"
4	0	4	"t3064"	"20240516"
