"vax_first"	"vax_full"	"vax_booster"	"teryt"	"date"
252	189	0	"t0201"	"20210312"
323	82	0	"t0202"	"20210312"
421	119	0	"t0203"	"20210312"
94	35	0	"t0204"	"20210312"
217	63	0	"t0205"	"20210312"
317	153	0	"t0206"	"20210312"
128	79	0	"t0207"	"20210312"
950	455	0	"t0208"	"20210312"
215	14	0	"t0209"	"20210312"
88	33	0	"t0210"	"20210312"
421	163	0	"t0211"	"20210312"
120	64	0	"t0212"	"20210312"
220	81	0	"t0213"	"20210312"
232	138	0	"t0214"	"20210312"
224	69	0	"t0215"	"20210312"
167	84	0	"t0216"	"20210312"
198	85	0	"t0217"	"20210312"
155	99	0	"t0218"	"20210312"
422	247	0	"t0219"	"20210312"
308	81	0	"t0220"	"20210312"
96	49	0	"t0221"	"20210312"
240	105	0	"t0222"	"20210312"
514	294	0	"t0223"	"20210312"
251	136	0	"t0224"	"20210312"
327	111	0	"t0225"	"20210312"
93	60	0	"t0226"	"20210312"
424	212	0	"t0261"	"20210312"
215	34	0	"t0262"	"20210312"
3786	1548	0	"t0264"	"20210312"
963	213	0	"t0265"	"20210312"
677	248	0	"t0401"	"20210312"
286	189	0	"t0402"	"20210312"
348	213	0	"t0403"	"20210312"
130	46	0	"t0404"	"20210312"
214	87	0	"t0405"	"20210312"
102	28	0	"t0406"	"20210312"
500	229	0	"t0407"	"20210312"
301	99	0	"t0408"	"20210312"
145	49	0	"t0409"	"20210312"
217	125	0	"t0410"	"20210312"
153	24	0	"t0411"	"20210312"
287	114	0	"t0412"	"20210312"
311	158	0	"t0413"	"20210312"
279	154	0	"t0414"	"20210312"
234	129	0	"t0415"	"20210312"
162	61	0	"t0416"	"20210312"
111	24	0	"t0417"	"20210312"
302	163	0	"t0418"	"20210312"
249	108	0	"t0419"	"20210312"
1349	574	0	"t0461"	"20210312"
296	147	0	"t0462"	"20210312"
620	324	0	"t0463"	"20210312"
253	142	0	"t0464"	"20210312"
460	205	0	"t0601"	"20210312"
306	117	0	"t0602"	"20210312"
281	50	0	"t0603"	"20210312"
283	95	0	"t0604"	"20210312"
166	94	0	"t0605"	"20210312"
207	131	0	"t0606"	"20210312"
303	128	0	"t0607"	"20210312"
276	126	0	"t0608"	"20210312"
626	343	0	"t0609"	"20210312"
200	99	0	"t0610"	"20210312"
295	132	0	"t0611"	"20210312"
246	93	0	"t0612"	"20210312"
171	61	0	"t0613"	"20210312"
540	180	0	"t0614"	"20210312"
261	77	0	"t0615"	"20210312"
367	232	0	"t0616"	"20210312"
168	118	0	"t0617"	"20210312"
293	110	0	"t0618"	"20210312"
280	114	0	"t0619"	"20210312"
482	181	0	"t0620"	"20210312"
172	32	0	"t0661"	"20210312"
278	117	0	"t0662"	"20210312"
2181	711	0	"t0663"	"20210312"
319	128	0	"t0664"	"20210312"
145	70	0	"t0801"	"20210312"
291	84	0	"t0802"	"20210312"
222	151	0	"t0803"	"20210312"
334	121	0	"t0804"	"20210312"
180	97	0	"t0805"	"20210312"
215	120	0	"t0806"	"20210312"
72	19	0	"t0807"	"20210312"
186	41	0	"t0808"	"20210312"
271	112	0	"t0809"	"20210312"
258	136	0	"t0810"	"20210312"
235	50	0	"t0811"	"20210312"
71	36	0	"t0812"	"20210312"
359	160	0	"t0861"	"20210312"
642	172	0	"t0862"	"20210312"
319	141	0	"t1001"	"20210312"
211	140	0	"t1002"	"20210312"
152	103	0	"t1003"	"20210312"
319	143	0	"t1004"	"20210312"
558	341	0	"t1005"	"20210312"
149	62	0	"t1006"	"20210312"
174	83	0	"t1007"	"20210312"
471	204	0	"t1008"	"20210312"
92	32	0	"t1009"	"20210312"
389	189	0	"t1010"	"20210312"
135	38	0	"t1011"	"20210312"
373	123	0	"t1012"	"20210312"
175	107	0	"t1013"	"20210312"
297	125	0	"t1014"	"20210312"
208	130	0	"t1015"	"20210312"
421	287	0	"t1016"	"20210312"
395	168	0	"t1017"	"20210312"
187	104	0	"t1018"	"20210312"
203	91	0	"t1019"	"20210312"
565	253	0	"t1020"	"20210312"
198	34	0	"t1021"	"20210312"
3434	1354	0	"t1061"	"20210312"
417	174	0	"t1062"	"20210312"
362	96	0	"t1063"	"20210312"
332	138	0	"t1201"	"20210312"
313	163	0	"t1202"	"20210312"
431	194	0	"t1203"	"20210312"
210	96	0	"t1204"	"20210312"
441	173	0	"t1205"	"20210312"
876	370	0	"t1206"	"20210312"
712	308	0	"t1207"	"20210312"
360	158	0	"t1208"	"20210312"
540	244	0	"t1209"	"20210312"
707	277	0	"t1210"	"20210312"
810	323	0	"t1211"	"20210312"
230	88	0	"t1212"	"20210312"
550	233	0	"t1213"	"20210312"
184	119	0	"t1214"	"20210312"
466	155	0	"t1215"	"20210312"
627	245	0	"t1216"	"20210312"
209	99	0	"t1217"	"20210312"
475	203	0	"t1218"	"20210312"
275	128	0	"t1219"	"20210312"
3552	1219	0	"t1261"	"20210312"
424	90	0	"t1262"	"20210312"
337	69	0	"t1263"	"20210312"
260	116	0	"t1401"	"20210312"
449	177	0	"t1402"	"20210312"
388	167	0	"t1403"	"20210312"
207	118	0	"t1404"	"20210312"
253	129	0	"t1405"	"20210312"
311	208	0	"t1406"	"20210312"
170	45	0	"t1407"	"20210312"
402	222	0	"t1408"	"20210312"
175	89	0	"t1409"	"20210312"
123	38	0	"t1410"	"20210312"
243	76	0	"t1411"	"20210312"
461	158	0	"t1412"	"20210312"
315	136	0	"t1413"	"20210312"
354	57	0	"t1414"	"20210312"
511	258	0	"t1415"	"20210312"
282	108	0	"t1416"	"20210312"
494	230	0	"t1417"	"20210312"
674	270	0	"t1418"	"20210312"
480	225	0	"t1419"	"20210312"
188	100	0	"t1420"	"20210312"
268	94	0	"t1421"	"20210312"
270	76	0	"t1422"	"20210312"
189	95	0	"t1423"	"20210312"
286	88	0	"t1424"	"20210312"
393	152	0	"t1425"	"20210312"
353	135	0	"t1426"	"20210312"
251	100	0	"t1427"	"20210312"
414	220	0	"t1428"	"20210312"
360	188	0	"t1429"	"20210312"
47	19	0	"t1430"	"20210312"
349	199	0	"t1432"	"20210312"
245	109	0	"t1433"	"20210312"
526	297	0	"t1434"	"20210312"
426	120	0	"t1435"	"20210312"
184	45	0	"t1436"	"20210312"
192	121	0	"t1437"	"20210312"
247	159	0	"t1438"	"20210312"
496	291	0	"t1461"	"20210312"
569	130	0	"t1462"	"20210312"
1064	361	0	"t1463"	"20210312"
