"vax_first"	"vax_full"	"vax_booster"	"teryt"	"date"
2	0	2	"t0265"	"20240606"
3	0	3	"t0463"	"20240606"
1	0	1	"t1061"	"20240606"
4	0	4	"t1261"	"20240606"
1	0	1	"t1427"	"20240606"
1	0	1	"t1438"	"20240606"
10	0	10	"t1465"	"20240606"
4	2	1	"t2061"	"20240606"
1	0	1	"t2214"	"20240606"
2	0	2	"t2262"	"20240606"
6	0	6	"t2461"	"20240606"
2	0	2	"t2469"	"20240606"
3	0	3	"t2478"	"20240606"
1	0	1	"t2661"	"20240606"
2	0	2	"t3020"	"20240606"
5	0	5	"t3064"	"20240606"
1	0	1	"t3208"	"20240606"
2	0	2	"t3262"	"20240606"
