"vax_first"	"vax_full"	"vax_booster"	"teryt"	"date"
16	0	14	"t0264"	"20231201"
1	0	1	"t0407"	"20231201"
1	0	1	"t0410"	"20231201"
6	0	6	"t0463"	"20231201"
1	0	1	"t0804"	"20231201"
4	0	4	"t1061"	"20231201"
1	0	1	"t1211"	"20231201"
3	0	3	"t1217"	"20231201"
10	0	10	"t1261"	"20231201"
5	0	5	"t1412"	"20231201"
18	1	14	"t1465"	"20231201"
2	0	2	"t2213"	"20231201"
45	1	41	"t2261"	"20231201"
14	0	14	"t2262"	"20231201"
2	0	2	"t2415"	"20231201"
1	0	1	"t2461"	"20231201"
2	0	2	"t2469"	"20231201"
1	0	1	"t2472"	"20231201"
1	0	1	"t2610"	"20231201"
1	0	1	"t3062"	"20231201"
9	0	8	"t3064"	"20231201"
2	0	2	"t3210"	"20231201"
