"vax_first"	"vax_full"	"vax_booster"	"teryt"	"date"
8	0	8	"t0201"	"20221229"
1	0	1	"t0202"	"20221229"
8	0	8	"t0203"	"20221229"
3	0	3	"t0205"	"20221229"
4	0	4	"t0206"	"20221229"
8	0	8	"t0207"	"20221229"
3	0	3	"t0208"	"20221229"
7	0	7	"t0210"	"20221229"
6	0	6	"t0211"	"20221229"
2	0	2	"t0214"	"20221229"
2	0	2	"t0215"	"20221229"
6	0	6	"t0216"	"20221229"
5	0	5	"t0217"	"20221229"
3	0	3	"t0218"	"20221229"
20	0	20	"t0219"	"20221229"
3	0	3	"t0220"	"20221229"
12	0	12	"t0222"	"20221229"
36	1	33	"t0223"	"20221229"
6	0	6	"t0224"	"20221229"
9	0	9	"t0225"	"20221229"
2	0	2	"t0226"	"20221229"
18	0	18	"t0261"	"20221229"
11	0	11	"t0262"	"20221229"
276	2	264	"t0264"	"20221229"
9	0	9	"t0265"	"20221229"
4	0	4	"t0401"	"20221229"
10	0	10	"t0402"	"20221229"
9	0	9	"t0403"	"20221229"
22	0	22	"t0407"	"20221229"
3	0	3	"t0410"	"20221229"
2	0	2	"t0413"	"20221229"
8	0	8	"t0414"	"20221229"
1	0	1	"t0415"	"20221229"
3	0	3	"t0418"	"20221229"
5	0	5	"t0419"	"20221229"
79	1	77	"t0461"	"20221229"
12	0	12	"t0462"	"20221229"
38	0	38	"t0463"	"20221229"
20	1	18	"t0464"	"20221229"
3	0	3	"t0602"	"20221229"
4	0	4	"t0607"	"20221229"
2	0	2	"t0608"	"20221229"
6	0	6	"t0609"	"20221229"
7	0	7	"t0611"	"20221229"
3	0	2	"t0613"	"20221229"
5	0	5	"t0615"	"20221229"
6	0	6	"t0617"	"20221229"
5	0	5	"t0662"	"20221229"
49	0	48	"t0663"	"20221229"
6	0	6	"t0664"	"20221229"
2	0	2	"t0802"	"20221229"
18	0	17	"t0804"	"20221229"
12	0	12	"t0805"	"20221229"
3	0	3	"t0806"	"20221229"
14	0	12	"t0807"	"20221229"
8	0	7	"t0809"	"20221229"
12	0	12	"t0810"	"20221229"
22	1	21	"t0811"	"20221229"
2	0	2	"t0812"	"20221229"
21	0	18	"t0861"	"20221229"
11	0	11	"t0862"	"20221229"
10	0	10	"t1002"	"20221229"
18	0	18	"t1005"	"20221229"
8	1	7	"t1006"	"20221229"
1	0	1	"t1008"	"20221229"
2	0	2	"t1009"	"20221229"
3	0	3	"t1012"	"20221229"
14	0	14	"t1014"	"20221229"
16	0	13	"t1016"	"20221229"
3	0	3	"t1017"	"20221229"
24	0	24	"t1018"	"20221229"
1	0	1	"t1019"	"20221229"
13	0	13	"t1020"	"20221229"
94	0	94	"t1061"	"20221229"
27	0	25	"t1062"	"20221229"
7	0	7	"t1201"	"20221229"
2	0	2	"t1202"	"20221229"
8	0	8	"t1203"	"20221229"
4	0	4	"t1204"	"20221229"
2	0	2	"t1205"	"20221229"
24	0	24	"t1206"	"20221229"
11	0	11	"t1211"	"20221229"
10	0	10	"t1212"	"20221229"
28	0	27	"t1213"	"20221229"
2	0	2	"t1214"	"20221229"
9	0	9	"t1215"	"20221229"
1	0	1	"t1216"	"20221229"
2	0	2	"t1217"	"20221229"
23	0	22	"t1218"	"20221229"
37	0	36	"t1219"	"20221229"
245	2	238	"t1261"	"20221229"
4	0	4	"t1262"	"20221229"
14	0	14	"t1263"	"20221229"
9	0	9	"t1402"	"20221229"
10	0	10	"t1403"	"20221229"
12	0	12	"t1404"	"20221229"
27	0	27	"t1405"	"20221229"
11	0	11	"t1407"	"20221229"
31	0	30	"t1408"	"20221229"
4	0	4	"t1409"	"20221229"
13	3	9	"t1412"	"20221229"
2	0	2	"t1413"	"20221229"
12	1	11	"t1414"	"20221229"
5	0	5	"t1416"	"20221229"
11	0	11	"t1417"	"20221229"
48	0	48	"t1418"	"20221229"
6	0	6	"t1419"	"20221229"
6	0	6	"t1420"	"20221229"
71	3	67	"t1421"	"20221229"
9	0	9	"t1428"	"20221229"
3	0	3	"t1429"	"20221229"
25	0	23	"t1432"	"20221229"
53	0	53	"t1434"	"20221229"
5	0	5	"t1435"	"20221229"
8	0	8	"t1461"	"20221229"
34	0	32	"t1462"	"20221229"
11	0	11	"t1463"	"20221229"
8	0	8	"t1464"	"20221229"
708	9	646	"t1465"	"20221229"
5	0	5	"t1603"	"20221229"
5	0	5	"t1605"	"20221229"
2	0	2	"t1606"	"20221229"
7	0	7	"t1607"	"20221229"
6	0	6	"t1608"	"20221229"
2	0	2	"t1609"	"20221229"
18	0	18	"t1661"	"20221229"
6	0	6	"t1801"	"20221229"
5	0	5	"t1802"	"20221229"
2	0	2	"t1803"	"20221229"
7	0	7	"t1804"	"20221229"
3	0	3	"t1805"	"20221229"
1	0	0	"t1806"	"20221229"
10	0	10	"t1808"	"20221229"
7	0	7	"t1810"	"20221229"
4	0	4	"t1811"	"20221229"
1	0	1	"t1812"	"20221229"
3	0	3	"t1813"	"20221229"
1	0	1	"t1814"	"20221229"
9	0	9	"t1818"	"20221229"
1	0	1	"t1819"	"20221229"
5	0	5	"t1861"	"20221229"
7	0	7	"t1862"	"20221229"
20	0	20	"t1863"	"20221229"
2	0	2	"t1864"	"20221229"
1	0	1	"t2001"	"20221229"
1	0	1	"t2002"	"20221229"
5	0	5	"t2005"	"20221229"
1	0	1	"t2007"	"20221229"
4	0	4	"t2014"	"20221229"
27	0	27	"t2061"	"20221229"
3	0	3	"t2062"	"20221229"
12	0	12	"t2063"	"20221229"
1	0	1	"t2201"	"20221229"
5	0	5	"t2202"	"20221229"
10	0	10	"t2204"	"20221229"
3	0	3	"t2205"	"20221229"
2	0	2	"t2206"	"20221229"
7	0	7	"t2207"	"20221229"
10	0	9	"t2208"	"20221229"
1	0	1	"t2209"	"20221229"
14	0	14	"t2211"	"20221229"
8	0	7	"t2212"	"20221229"
8	0	8	"t2213"	"20221229"
18	0	18	"t2214"	"20221229"
15	0	15	"t2215"	"20221229"
5	0	5	"t2216"	"20221229"
