"vax_first"	"vax_full"	"vax_booster"	"teryt"	"date"
223	7	173	"t0201"	"20220128"
339	14	290	"t0202"	"20220128"
318	15	284	"t0203"	"20220128"
25	2	13	"t0204"	"20220128"
109	7	87	"t0205"	"20220128"
132	6	119	"t0206"	"20220128"
148	3	121	"t0207"	"20220128"
609	19	489	"t0208"	"20220128"
191	8	166	"t0209"	"20220128"
219	4	201	"t0210"	"20220128"
381	24	321	"t0211"	"20220128"
265	33	207	"t0212"	"20220128"
109	1	95	"t0213"	"20220128"
574	71	435	"t0214"	"20220128"
107	4	100	"t0215"	"20220128"
240	6	215	"t0216"	"20220128"
251	9	209	"t0217"	"20220128"
125	8	94	"t0218"	"20220128"
577	18	471	"t0219"	"20220128"
325	24	259	"t0220"	"20220128"
124	4	91	"t0221"	"20220128"
317	35	241	"t0222"	"20220128"
509	51	352	"t0223"	"20220128"
284	11	218	"t0224"	"20220128"
479	11	401	"t0225"	"20220128"
42	5	32	"t0226"	"20220128"
284	15	226	"t0261"	"20220128"
382	10	335	"t0262"	"20220128"
2723	214	2200	"t0264"	"20220128"
308	18	244	"t0265"	"20220128"
183	61	88	"t0401"	"20220128"
257	11	198	"t0402"	"20220128"
401	16	341	"t0403"	"20220128"
143	7	105	"t0404"	"20220128"
233	3	215	"t0405"	"20220128"
86	13	67	"t0406"	"20220128"
259	18	197	"t0407"	"20220128"
159	0	148	"t0408"	"20220128"
208	20	103	"t0409"	"20220128"
247	11	178	"t0410"	"20220128"
174	7	148	"t0411"	"20220128"
165	7	139	"t0412"	"20220128"
151	12	106	"t0413"	"20220128"
369	11	310	"t0414"	"20220128"
268	14	223	"t0415"	"20220128"
93	28	47	"t0416"	"20220128"
189	8	145	"t0417"	"20220128"
316	10	269	"t0418"	"20220128"
205	11	151	"t0419"	"20220128"
1261	118	928	"t0461"	"20220128"
457	26	344	"t0462"	"20220128"
891	167	617	"t0463"	"20220128"
402	14	323	"t0464"	"20220128"
208	9	182	"t0601"	"20220128"
241	13	196	"t0602"	"20220128"
234	5	214	"t0603"	"20220128"
195	16	123	"t0604"	"20220128"
91	1	79	"t0605"	"20220128"
159	13	113	"t0606"	"20220128"
227	12	198	"t0607"	"20220128"
165	5	138	"t0608"	"20220128"
406	19	340	"t0609"	"20220128"
146	7	126	"t0610"	"20220128"
304	20	243	"t0611"	"20220128"
200	18	167	"t0612"	"20220128"
16	1	15	"t0613"	"20220128"
544	26	450	"t0614"	"20220128"
163	2	155	"t0615"	"20220128"
92	6	82	"t0616"	"20220128"
190	9	162	"t0617"	"20220128"
216	3	180	"t0618"	"20220128"
128	2	106	"t0619"	"20220128"
257	14	218	"t0620"	"20220128"
177	7	136	"t0661"	"20220128"
325	27	261	"t0662"	"20220128"
1139	107	868	"t0663"	"20220128"
287	25	225	"t0664"	"20220128"
78	12	23	"t0801"	"20220128"
239	32	172	"t0802"	"20220128"
130	4	117	"t0803"	"20220128"
215	10	153	"t0804"	"20220128"
170	2	145	"t0805"	"20220128"
221	3	183	"t0806"	"20220128"
83	18	23	"t0807"	"20220128"
192	4	176	"t0808"	"20220128"
169	24	95	"t0809"	"20220128"
325	45	239	"t0810"	"20220128"
420	29	342	"t0811"	"20220128"
66	3	59	"t0812"	"20220128"
748	99	430	"t0861"	"20220128"
456	36	356	"t0862"	"20220128"
321	16	262	"t1001"	"20220128"
295	8	249	"t1002"	"20220128"
269	13	235	"t1003"	"20220128"
120	1	105	"t1004"	"20220128"
400	16	316	"t1005"	"20220128"
274	15	211	"t1006"	"20220128"
175	7	146	"t1007"	"20220128"
355	39	240	"t1008"	"20220128"
120	0	110	"t1009"	"20220128"
67	21	32	"t1010"	"20220128"
62	2	36	"t1011"	"20220128"
289	8	231	"t1012"	"20220128"
180	13	160	"t1013"	"20220128"
301	7	252	"t1014"	"20220128"
30	0	30	"t1015"	"20220128"
398	34	304	"t1016"	"20220128"
283	40	203	"t1017"	"20220128"
168	11	147	"t1018"	"20220128"
108	1	104	"t1019"	"20220128"
828	62	699	"t1020"	"20220128"
89	1	81	"t1021"	"20220128"
2780	295	2140	"t1061"	"20220128"
373	16	302	"t1062"	"20220128"
194	14	148	"t1063"	"20220128"
350	50	261	"t1201"	"20220128"
236	10	192	"t1202"	"20220128"
459	26	363	"t1203"	"20220128"
125	12	66	"t1204"	"20220128"
223	12	173	"t1205"	"20220128"
1021	141	733	"t1206"	"20220128"
270	6	233	"t1207"	"20220128"
166	7	136	"t1208"	"20220128"
