"vax_first"	"vax_full"	"vax_booster"	"teryt"	"date"
202	77	100	"t0201"	"20220210"
332	71	215	"t0202"	"20220210"
263	40	178	"t0203"	"20220210"
51	17	25	"t0204"	"20220210"
127	39	73	"t0205"	"20220210"
157	59	76	"t0206"	"20220210"
125	26	83	"t0207"	"20220210"
265	32	209	"t0208"	"20220210"
137	27	72	"t0209"	"20220210"
151	7	135	"t0210"	"20220210"
185	45	112	"t0211"	"20220210"
92	26	52	"t0212"	"20220210"
112	48	41	"t0213"	"20220210"
297	65	148	"t0214"	"20220210"
139	15	115	"t0215"	"20220210"
89	27	50	"t0216"	"20220210"
74	18	51	"t0217"	"20220210"
79	29	37	"t0218"	"20220210"
453	85	283	"t0219"	"20220210"
143	35	90	"t0220"	"20220210"
39	7	28	"t0221"	"20220210"
228	61	128	"t0222"	"20220210"
394	117	247	"t0223"	"20220210"
87	11	67	"t0224"	"20220210"
220	26	144	"t0225"	"20220210"
182	69	94	"t0226"	"20220210"
159	30	115	"t0261"	"20220210"
320	120	157	"t0262"	"20220210"
1808	388	1200	"t0264"	"20220210"
347	52	220	"t0265"	"20220210"
169	29	131	"t0401"	"20220210"
270	71	149	"t0402"	"20220210"
305	41	249	"t0403"	"20220210"
87	38	38	"t0404"	"20220210"
138	7	110	"t0405"	"20220210"
99	20	65	"t0406"	"20220210"
296	47	213	"t0407"	"20220210"
67	37	24	"t0408"	"20220210"
81	16	57	"t0409"	"20220210"
149	34	70	"t0410"	"20220210"
171	56	100	"t0411"	"20220210"
144	26	111	"t0412"	"20220210"
101	8	77	"t0413"	"20220210"
216	80	114	"t0414"	"20220210"
135	32	84	"t0415"	"20220210"
200	24	152	"t0416"	"20220210"
101	6	90	"t0417"	"20220210"
190	51	103	"t0418"	"20220210"
80	23	42	"t0419"	"20220210"
831	198	543	"t0461"	"20220210"
382	98	230	"t0462"	"20220210"
391	92	263	"t0463"	"20220210"
177	42	121	"t0464"	"20220210"
155	42	95	"t0601"	"20220210"
120	30	73	"t0602"	"20220210"
75	22	44	"t0603"	"20220210"
136	41	68	"t0604"	"20220210"
48	6	38	"t0605"	"20220210"
53	14	32	"t0606"	"20220210"
202	67	108	"t0607"	"20220210"
191	46	121	"t0608"	"20220210"
172	48	110	"t0609"	"20220210"
154	42	82	"t0610"	"20220210"
147	33	102	"t0611"	"20220210"
155	22	111	"t0612"	"20220210"
127	22	89	"t0613"	"20220210"
242	37	190	"t0614"	"20220210"
68	13	50	"t0615"	"20220210"
71	10	55	"t0616"	"20220210"
89	21	59	"t0617"	"20220210"
214	29	152	"t0618"	"20220210"
51	25	18	"t0619"	"20220210"
115	20	84	"t0620"	"20220210"
124	31	77	"t0661"	"20220210"
111	34	50	"t0662"	"20220210"
689	189	418	"t0663"	"20220210"
161	36	106	"t0664"	"20220210"
51	19	25	"t0801"	"20220210"
71	25	41	"t0802"	"20220210"
204	45	120	"t0803"	"20220210"
328	80	217	"t0804"	"20220210"
216	21	174	"t0805"	"20220210"
112	24	71	"t0806"	"20220210"
57	11	41	"t0807"	"20220210"
97	29	58	"t0808"	"20220210"
232	32	149	"t0809"	"20220210"
321	94	188	"t0810"	"20220210"
315	75	202	"t0811"	"20220210"
138	19	111	"t0812"	"20220210"
274	77	126	"t0861"	"20220210"
220	54	141	"t0862"	"20220210"
185	53	74	"t1001"	"20220210"
173	71	77	"t1002"	"20220210"
130	63	55	"t1003"	"20220210"
154	36	91	"t1004"	"20220210"
170	44	94	"t1005"	"20220210"
135	56	58	"t1006"	"20220210"
119	22	92	"t1007"	"20220210"
378	127	219	"t1008"	"20220210"
76	2	71	"t1009"	"20220210"
68	15	38	"t1010"	"20220210"
153	35	91	"t1011"	"20220210"
143	31	96	"t1012"	"20220210"
216	53	140	"t1013"	"20220210"
260	51	181	"t1014"	"20220210"
124	34	44	"t1015"	"20220210"
200	34	144	"t1016"	"20220210"
295	101	153	"t1017"	"20220210"
216	71	122	"t1018"	"20220210"
157	19	129	"t1019"	"20220210"
395	142	208	"t1020"	"20220210"
87	33	44	"t1021"	"20220210"
1368	347	782	"t1061"	"20220210"
235	58	152	"t1062"	"20220210"
