"vax_first"	"vax_full"	"vax_booster"	"teryt"	"date"
4	0	4	"t0210"	"20230603"
3	0	3	"t0214"	"20230603"
3	0	2	"t0264"	"20230603"
1	0	1	"t0265"	"20230603"
4	0	4	"t0418"	"20230603"
1	0	0	"t0461"	"20230603"
1	0	1	"t0661"	"20230603"
4	0	1	"t0663"	"20230603"
1	0	1	"t0664"	"20230603"
1	0	1	"t0804"	"20230603"
1	0	1	"t0862"	"20230603"
12	0	11	"t1061"	"20230603"
1	0	1	"t1201"	"20230603"
3	0	3	"t1203"	"20230603"
1	0	1	"t1212"	"20230603"
1	0	1	"t1218"	"20230603"
2	0	2	"t1219"	"20230603"
4	0	4	"t1261"	"20230603"
1	0	1	"t1263"	"20230603"
5	1	1	"t1405"	"20230603"
5	4	1	"t1407"	"20230603"
1	0	1	"t1412"	"20230603"
1	0	1	"t1418"	"20230603"
1	0	1	"t1425"	"20230603"
5	0	5	"t1461"	"20230603"
1	0	1	"t1462"	"20230603"
1	0	1	"t1464"	"20230603"
41	2	36	"t1465"	"20230603"
1	0	1	"t1863"	"20230603"
1	0	1	"t2061"	"20230603"
2	0	2	"t2063"	"20230603"
1	0	1	"t2204"	"20230603"
1	0	1	"t2205"	"20230603"
8	0	8	"t2261"	"20230603"
9	0	0	"t2403"	"20230603"
1	0	1	"t2413"	"20230603"
3	1	0	"t2462"	"20230603"
1	0	1	"t2464"	"20230603"
4	0	4	"t2466"	"20230603"
2	0	2	"t2469"	"20230603"
1	0	1	"t2477"	"20230603"
5	0	5	"t2610"	"20230603"
1	0	1	"t2661"	"20230603"
1	0	1	"t2807"	"20230603"
3	2	1	"t2862"	"20230603"
1	0	1	"t3004"	"20230603"
1	0	1	"t3020"	"20230603"
1	0	1	"t3021"	"20230603"
1	0	1	"t3022"	"20230603"
1	0	1	"t3061"	"20230603"
2	0	2	"t3062"	"20230603"
12	0	11	"t3064"	"20230603"
3	0	3	"t3262"	"20230603"
