"vax_first"	"vax_full"	"vax_booster"	"teryt"	"date"
3	0	1	"t0201"	"20220322"
70	7	58	"t0202"	"20220322"
20	3	15	"t0203"	"20220322"
10	9	1	"t0204"	"20220322"
15	0	7	"t0206"	"20220322"
13	8	5	"t0207"	"20220322"
43	6	34	"t0208"	"20220322"
27	12	13	"t0210"	"20220322"
32	8	20	"t0211"	"20220322"
9	1	7	"t0212"	"20220322"
17	12	3	"t0213"	"20220322"
88	27	52	"t0214"	"20220322"
5	0	5	"t0215"	"20220322"
21	2	14	"t0216"	"20220322"
13	8	4	"t0218"	"20220322"
40	13	23	"t0219"	"20220322"
30	14	13	"t0221"	"20220322"
12	1	11	"t0222"	"20220322"
33	3	27	"t0223"	"20220322"
29	7	20	"t0224"	"20220322"
18	3	12	"t0225"	"20220322"
21	2	12	"t0226"	"20220322"
42	2	39	"t0261"	"20220322"
37	5	29	"t0262"	"20220322"
606	72	480	"t0264"	"20220322"
39	6	29	"t0265"	"20220322"
16	6	9	"t0401"	"20220322"
29	4	23	"t0402"	"20220322"
11	3	7	"t0403"	"20220322"
5	2	3	"t0404"	"20220322"
6	2	4	"t0406"	"20220322"
24	4	11	"t0407"	"20220322"
10	3	5	"t0408"	"20220322"
8	3	5	"t0409"	"20220322"
9	2	7	"t0410"	"20220322"
15	6	3	"t0412"	"20220322"
26	3	23	"t0413"	"20220322"
29	5	21	"t0414"	"20220322"
15	7	6	"t0415"	"20220322"
5	0	5	"t0418"	"20220322"
24	12	12	"t0419"	"20220322"
161	20	116	"t0461"	"20220322"
67	18	39	"t0462"	"20220322"
104	8	88	"t0463"	"20220322"
104	33	57	"t0464"	"20220322"
6	5	0	"t0601"	"20220322"
12	3	8	"t0602"	"20220322"
6	0	4	"t0604"	"20220322"
4	0	4	"t0605"	"20220322"
16	8	8	"t0606"	"20220322"
20	8	9	"t0607"	"20220322"
9	5	3	"t0608"	"20220322"
10	3	5	"t0609"	"20220322"
10	1	9	"t0610"	"20220322"
12	3	7	"t0611"	"20220322"
15	5	8	"t0612"	"20220322"
9	5	3	"t0613"	"20220322"
12	1	10	"t0614"	"20220322"
6	1	5	"t0615"	"20220322"
4	1	2	"t0616"	"20220322"
8	1	4	"t0617"	"20220322"
24	6	16	"t0618"	"20220322"
23	6	14	"t0661"	"20220322"
12	2	9	"t0662"	"20220322"
186	30	117	"t0663"	"20220322"
29	7	17	"t0664"	"20220322"
14	1	12	"t0802"	"20220322"
11	1	10	"t0803"	"20220322"
32	1	24	"t0804"	"20220322"
29	4	23	"t0805"	"20220322"
8	1	6	"t0806"	"20220322"
10	0	9	"t0807"	"20220322"
11	0	10	"t0809"	"20220322"
45	4	34	"t0810"	"20220322"
22	3	17	"t0811"	"20220322"
19	11	5	"t0812"	"20220322"
60	7	45	"t0861"	"20220322"
54	7	36	"t0862"	"20220322"
24	6	13	"t1002"	"20220322"
12	8	4	"t1004"	"20220322"
10	1	6	"t1005"	"20220322"
6	0	6	"t1006"	"20220322"
12	4	7	"t1007"	"20220322"
32	16	14	"t1008"	"20220322"
5	2	3	"t1010"	"20220322"
12	4	2	"t1011"	"20220322"
22	3	16	"t1012"	"20220322"
24	6	16	"t1014"	"20220322"
16	8	2	"t1015"	"20220322"
45	1	41	"t1016"	"20220322"
5	1	4	"t1017"	"20220322"
14	1	11	"t1019"	"20220322"
37	8	22	"t1020"	"20220322"
300	55	213	"t1061"	"20220322"
51	11	34	"t1062"	"20220322"
10	1	7	"t1063"	"20220322"
78	12	59	"t1201"	"20220322"
14	2	12	"t1202"	"20220322"
74	4	51	"t1203"	"20220322"
6	1	4	"t1204"	"20220322"
26	3	22	"t1205"	"20220322"
48	5	41	"t1206"	"20220322"
30	11	15	"t1207"	"20220322"
16	8	8	"t1208"	"20220322"
82	12	60	"t1209"	"20220322"
47	17	27	"t1210"	"20220322"
55	7	45	"t1211"	"20220322"
18	0	18	"t1212"	"20220322"
38	3	34	"t1213"	"20220322"
9	2	7	"t1215"	"20220322"
26	10	14	"t1216"	"20220322"
24	4	17	"t1217"	"20220322"
36	6	27	"t1218"	"20220322"
79	4	68	"t1219"	"20220322"
837	83	679	"t1261"	"20220322"
34	3	29	"t1262"	"20220322"
51	12	33	"t1263"	"20220322"
15	1	13	"t1402"	"20220322"
4	2	2	"t1403"	"20220322"
14	1	12	"t1404"	"20220322"
43	6	36	"t1405"	"20220322"
30	6	20	"t1406"	"20220322"
36	10	18	"t1407"	"20220322"
57	6	45	"t1408"	"20220322"
12	5	6	"t1409"	"20220322"
3	0	3	"t1411"	"20220322"
44	4	38	"t1412"	"20220322"
13	3	7	"t1413"	"20220322"
