"vax_first"	"vax_full"	"vax_booster"	"teryt"	"date"
2	0	2	"t0215"	"20221017"
3	0	3	"t0219"	"20221017"
51	0	51	"t0264"	"20221017"
12	0	12	"t0461"	"20221017"
19	0	19	"t0662"	"20221017"
20	0	18	"t0861"	"20221017"
6	0	6	"t1006"	"20221017"
18	0	18	"t1061"	"20221017"
9	0	9	"t1207"	"20221017"
57	1	54	"t1261"	"20221017"
8	0	8	"t1421"	"20221017"
32	0	32	"t1432"	"20221017"
32	2	30	"t1434"	"20221017"
6	0	6	"t1463"	"20221017"
206	2	202	"t1465"	"20221017"
1	0	1	"t2063"	"20221017"
5	0	5	"t2215"	"20221017"
41	2	38	"t2261"	"20221017"
17	0	17	"t2262"	"20221017"
3	0	3	"t2403"	"20221017"
4	0	4	"t2405"	"20221017"
5	0	5	"t2407"	"20221017"
3	0	3	"t2461"	"20221017"
2	0	2	"t2464"	"20221017"
9	0	8	"t2466"	"20221017"
1	0	1	"t2469"	"20221017"
6	0	6	"t2604"	"20221017"
4	0	4	"t2661"	"20221017"
32	0	32	"t3021"	"20221017"
1	0	1	"t3024"	"20221017"
33	0	33	"t3064"	"20221017"
1	0	1	"t3216"	"20221017"
3	0	2	"t3262"	"20221017"
