"vax_first"	"vax_full"	"vax_booster"	"teryt"	"date"
16	0	16	"t0201"	"20230211"
5	0	5	"t0202"	"20230211"
1	0	1	"t0203"	"20230211"
40	0	39	"t0211"	"20230211"
5	0	5	"t0214"	"20230211"
2	0	2	"t0215"	"20230211"
8	0	8	"t0219"	"20230211"
4	0	4	"t0220"	"20230211"
6	0	6	"t0223"	"20230211"
3	0	3	"t0224"	"20230211"
2	0	2	"t0226"	"20230211"
10	4	5	"t0261"	"20230211"
1	0	1	"t0262"	"20230211"
82	10	69	"t0264"	"20230211"
5	2	3	"t0265"	"20230211"
12	2	10	"t0402"	"20230211"
13	0	13	"t0403"	"20230211"
2	0	2	"t0404"	"20230211"
3	0	3	"t0407"	"20230211"
3	0	3	"t0408"	"20230211"
2	0	2	"t0418"	"20230211"
31	1	30	"t0461"	"20230211"
4	0	4	"t0462"	"20230211"
13	0	12	"t0463"	"20230211"
1	0	1	"t0604"	"20230211"
7	0	7	"t0616"	"20230211"
4	0	4	"t0661"	"20230211"
26	4	18	"t0663"	"20230211"
4	0	4	"t0804"	"20230211"
9	1	8	"t0861"	"20230211"
16	2	14	"t0862"	"20230211"
10	0	10	"t1001"	"20230211"
2	0	2	"t1002"	"20230211"
6	0	6	"t1005"	"20230211"
2	0	2	"t1007"	"20230211"
5	0	5	"t1008"	"20230211"
1	0	1	"t1012"	"20230211"
2	0	2	"t1018"	"20230211"
5	0	5	"t1020"	"20230211"
37	2	33	"t1061"	"20230211"
9	0	9	"t1062"	"20230211"
4	0	4	"t1203"	"20230211"
1	0	1	"t1205"	"20230211"
2	0	2	"t1206"	"20230211"
15	0	15	"t1207"	"20230211"
1	0	1	"t1208"	"20230211"
2	0	2	"t1210"	"20230211"
10	1	3	"t1211"	"20230211"
3	0	3	"t1212"	"20230211"
3	1	2	"t1213"	"20230211"
3	0	3	"t1215"	"20230211"
3	0	3	"t1217"	"20230211"
13	0	13	"t1218"	"20230211"
72	1	68	"t1261"	"20230211"
2	0	2	"t1262"	"20230211"
8	0	8	"t1263"	"20230211"
3	0	3	"t1402"	"20230211"
6	0	0	"t1403"	"20230211"
7	0	7	"t1405"	"20230211"
1	0	1	"t1406"	"20230211"
3	0	3	"t1407"	"20230211"
7	0	5	"t1408"	"20230211"
1	0	1	"t1410"	"20230211"
3	0	3	"t1413"	"20230211"
3	0	2	"t1414"	"20230211"
7	0	7	"t1418"	"20230211"
1	0	1	"t1419"	"20230211"
6	0	6	"t1421"	"20230211"
1	0	1	"t1428"	"20230211"
2	0	2	"t1432"	"20230211"
8	0	8	"t1434"	"20230211"
8	0	8	"t1435"	"20230211"
7	0	7	"t1462"	"20230211"
8	0	8	"t1463"	"20230211"
10	0	9	"t1464"	"20230211"
