"vax_first"	"vax_full"	"vax_booster"	"teryt"	"date"
12	1	11	"t0201"	"20220407"
19	4	11	"t0202"	"20220407"
8	0	8	"t0203"	"20220407"
28	4	22	"t0205"	"20220407"
27	5	19	"t0206"	"20220407"
8	1	5	"t0207"	"20220407"
1	0	1	"t0208"	"20220407"
8	0	6	"t0209"	"20220407"
4	0	4	"t0210"	"20220407"
12	0	12	"t0211"	"20220407"
19	10	8	"t0212"	"20220407"
29	6	18	"t0214"	"20220407"
4	2	2	"t0216"	"20220407"
11	2	9	"t0218"	"20220407"
82	28	47	"t0219"	"20220407"
32	12	19	"t0220"	"20220407"
20	4	13	"t0222"	"20220407"
43	2	40	"t0223"	"20220407"
2	0	1	"t0224"	"20220407"
36	12	19	"t0225"	"20220407"
9	7	0	"t0226"	"20220407"
20	2	15	"t0261"	"20220407"
20	4	13	"t0262"	"20220407"
366	36	298	"t0264"	"20220407"
36	7	26	"t0265"	"20220407"
3	3	0	"t0401"	"20220407"
2	0	2	"t0402"	"20220407"
20	1	13	"t0403"	"20220407"
7	0	7	"t0404"	"20220407"
1	0	1	"t0405"	"20220407"
3	2	0	"t0406"	"20220407"
31	0	31	"t0407"	"20220407"
8	3	0	"t0408"	"20220407"
7	1	5	"t0409"	"20220407"
8	3	5	"t0410"	"20220407"
26	8	13	"t0411"	"20220407"
11	3	7	"t0413"	"20220407"
29	3	22	"t0414"	"20220407"
17	0	17	"t0416"	"20220407"
9	4	5	"t0417"	"20220407"
16	8	8	"t0418"	"20220407"
79	9	63	"t0461"	"20220407"
29	1	25	"t0462"	"20220407"
91	5	79	"t0463"	"20220407"
14	1	9	"t0464"	"20220407"
6	0	6	"t0601"	"20220407"
9	3	2	"t0602"	"20220407"
6	2	4	"t0608"	"20220407"
6	3	3	"t0609"	"20220407"
10	4	0	"t0610"	"20220407"
5	0	0	"t0612"	"20220407"
10	0	10	"t0613"	"20220407"
38	11	25	"t0614"	"20220407"
12	4	7	"t0615"	"20220407"
10	0	10	"t0618"	"20220407"
11	2	7	"t0661"	"20220407"
8	0	8	"t0662"	"20220407"
113	16	67	"t0663"	"20220407"
12	4	5	"t0664"	"20220407"
7	5	2	"t0801"	"20220407"
14	7	5	"t0802"	"20220407"
16	5	11	"t0803"	"20220407"
9	3	5	"t0804"	"20220407"
25	5	18	"t0805"	"20220407"
