"new_cases"	"deaths"	"teryt"	"date"
2	0	"t0201"	"20240206"
6	0	"t0202"	"20240206"
2	1	"t0203"	"20240206"
1	0	"t0205"	"20240206"
9	0	"t0211"	"20240206"
1	0	"t0214"	"20240206"
4	0	"t0216"	"20240206"
1	0	"t0217"	"20240206"
1	0	"t0219"	"20240206"
5	0	"t0220"	"20240206"
4	0	"t0223"	"20240206"
5	0	"t0224"	"20240206"
1	0	"t0261"	"20240206"
7	0	"t0264"	"20240206"
1	0	"t0403"	"20240206"
1	0	"t0404"	"20240206"
1	0	"t0405"	"20240206"
1	0	"t0406"	"20240206"
2	0	"t0407"	"20240206"
2	0	"t0410"	"20240206"
1	0	"t0411"	"20240206"
2	0	"t0414"	"20240206"
2	0	"t0415"	"20240206"
2	0	"t0418"	"20240206"
1	0	"t0419"	"20240206"
7	1	"t0461"	"20240206"
3	0	"t0462"	"20240206"
1	0	"t0463"	"20240206"
3	0	"t0464"	"20240206"
3	0	"t0602"	"20240206"
2	0	"t0604"	"20240206"
1	0	"t0606"	"20240206"
2	0	"t0607"	"20240206"
2	0	"t0608"	"20240206"
4	0	"t0609"	"20240206"
3	0	"t0610"	"20240206"
3	0	"t0612"	"20240206"
2	0	"t0614"	"20240206"
1	0	"t0617"	"20240206"
8	0	"t0618"	"20240206"
4	0	"t0619"	"20240206"
2	0	"t0620"	"20240206"
6	0	"t0663"	"20240206"
1	0	"t0664"	"20240206"
5	0	"t0801"	"20240206"
1	0	"t0804"	"20240206"
1	0	"t0806"	"20240206"
1	0	"t0808"	"20240206"
4	0	"t0809"	"20240206"
1	0	"t0811"	"20240206"
3	0	"t0861"	"20240206"
2	0	"t0862"	"20240206"
1	0	"t1005"	"20240206"
2	0	"t1008"	"20240206"
1	0	"t1010"	"20240206"
2	0	"t1011"	"20240206"
2	1	"t1012"	"20240206"
1	0	"t1013"	"20240206"
1	0	"t1014"	"20240206"
1	0	"t1015"	"20240206"
3	0	"t1020"	"20240206"
8	0	"t1061"	"20240206"
1	0	"t1062"	"20240206"
3	0	"t1202"	"20240206"
2	0	"t1203"	"20240206"
2	0	"t1205"	"20240206"
4	0	"t1208"	"20240206"
1	0	"t1210"	"20240206"
2	0	"t1212"	"20240206"
3	0	"t1213"	"20240206"
1	0	"t1215"	"20240206"
2	0	"t1216"	"20240206"
1	0	"t1217"	"20240206"
9	1	"t1218"	"20240206"
1	0	"t1219"	"20240206"
7	0	"t1261"	"20240206"
2	0	"t1262"	"20240206"
2	0	"t1263"	"20240206"
3	0	"t1401"	"20240206"
1	0	"t1402"	"20240206"
4	0	"t1403"	"20240206"
2	0	"t1406"	"20240206"
4	0	"t1407"	"20240206"
1	0	"t1408"	"20240206"
2	1	"t1410"	"20240206"
1	0	"t1414"	"20240206"
6	0	"t1417"	"20240206"
1	0	"t1418"	"20240206"
3	0	"t1422"	"20240206"
1	0	"t1425"	"20240206"
