"vax_first"	"vax_full"	"vax_booster"	"teryt"	"date"
36	0	36	"t0201"	"20220804"
101	0	101	"t0202"	"20220804"
85	0	85	"t0203"	"20220804"
53	0	53	"t0204"	"20220804"
76	0	76	"t0205"	"20220804"
42	3	38	"t0206"	"20220804"
38	0	38	"t0207"	"20220804"
69	1	65	"t0208"	"20220804"
76	0	76	"t0209"	"20220804"
19	0	19	"t0210"	"20220804"
89	0	89	"t0211"	"20220804"
45	0	45	"t0212"	"20220804"
53	1	50	"t0213"	"20220804"
144	0	144	"t0214"	"20220804"
37	0	37	"t0215"	"20220804"
94	0	92	"t0216"	"20220804"
31	0	31	"t0217"	"20220804"
79	0	78	"t0218"	"20220804"
242	2	239	"t0219"	"20220804"
109	0	108	"t0220"	"20220804"
139	0	139	"t0221"	"20220804"
67	0	67	"t0222"	"20220804"
215	4	209	"t0223"	"20220804"
108	0	108	"t0224"	"20220804"
212	0	212	"t0225"	"20220804"
114	0	114	"t0226"	"20220804"
266	0	265	"t0261"	"20220804"
215	0	211	"t0262"	"20220804"
1321	8	1290	"t0264"	"20220804"
215	0	214	"t0265"	"20220804"
102	0	102	"t0401"	"20220804"
90	0	90	"t0402"	"20220804"
135	0	133	"t0403"	"20220804"
56	0	56	"t0404"	"20220804"
21	0	21	"t0405"	"20220804"
14	0	14	"t0406"	"20220804"
221	0	219	"t0407"	"20220804"
33	0	31	"t0408"	"20220804"
19	0	19	"t0409"	"20220804"
84	0	84	"t0410"	"20220804"
53	0	53	"t0411"	"20220804"
87	0	86	"t0412"	"20220804"
137	0	136	"t0413"	"20220804"
203	0	203	"t0414"	"20220804"
193	0	193	"t0415"	"20220804"
81	0	81	"t0416"	"20220804"
51	0	51	"t0417"	"20220804"
95	0	95	"t0418"	"20220804"
92	1	91	"t0419"	"20220804"
1036	7	1020	"t0461"	"20220804"
202	1	198	"t0462"	"20220804"
481	1	475	"t0463"	"20220804"
198	0	197	"t0464"	"20220804"
80	0	80	"t0601"	"20220804"
103	0	103	"t0602"	"20220804"
36	0	36	"t0603"	"20220804"
84	0	84	"t0604"	"20220804"
42	0	42	"t0605"	"20220804"
34	0	34	"t0606"	"20220804"
108	0	105	"t0607"	"20220804"
16	0	16	"t0608"	"20220804"
45	1	42	"t0609"	"20220804"
23	0	23	"t0610"	"20220804"
15	0	15	"t0611"	"20220804"
73	0	73	"t0612"	"20220804"
48	0	48	"t0613"	"20220804"
86	0	85	"t0614"	"20220804"
43	0	43	"t0615"	"20220804"
88	2	86	"t0616"	"20220804"
77	0	77	"t0617"	"20220804"
42	0	42	"t0618"	"20220804"
85	0	85	"t0619"	"20220804"
19	0	19	"t0620"	"20220804"
12	1	10	"t0661"	"20220804"
23	0	22	"t0662"	"20220804"
605	2	601	"t0663"	"20220804"
70	1	69	"t0664"	"20220804"
57	0	57	"t0801"	"20220804"
92	0	91	"t0802"	"20220804"
24	3	15	"t0803"	"20220804"
251	0	251	"t0804"	"20220804"
31	0	31	"t0805"	"20220804"
143	0	142	"t0806"	"20220804"
94	3	91	"t0807"	"20220804"
83	0	83	"t0808"	"20220804"
119	0	119	"t0809"	"20220804"
233	1	229	"t0810"	"20220804"
168	0	167	"t0811"	"20220804"
308	0	304	"t0861"	"20220804"
300	0	298	"t0862"	"20220804"
62	0	62	"t1001"	"20220804"
190	0	188	"t1002"	"20220804"
54	0	54	"t1003"	"20220804"
28	0	28	"t1004"	"20220804"
145	0	145	"t1005"	"20220804"
143	0	141	"t1006"	"20220804"
39	0	39	"t1007"	"20220804"
298	0	295	"t1008"	"20220804"
43	0	43	"t1009"	"20220804"
47	0	47	"t1010"	"20220804"
121	0	118	"t1011"	"20220804"
74	0	74	"t1012"	"20220804"
4	0	3	"t1013"	"20220804"
54	2	51	"t1014"	"20220804"
142	1	140	"t1016"	"20220804"
150	1	148	"t1017"	"20220804"
115	0	114	"t1018"	"20220804"
115	0	115	"t1019"	"20220804"
289	0	289	"t1020"	"20220804"
51	0	51	"t1021"	"20220804"
1568	2	1553	"t1061"	"20220804"
184	0	184	"t1062"	"20220804"
22	0	21	"t1063"	"20220804"
42	0	42	"t1201"	"20220804"
57	0	57	"t1202"	"20220804"
114	0	113	"t1203"	"20220804"
22	0	22	"t1204"	"20220804"
16	0	16	"t1205"	"20220804"
236	0	236	"t1206"	"20220804"
29	0	29	"t1207"	"20220804"
60	1	59	"t1208"	"20220804"
130	2	126	"t1209"	"20220804"
78	0	74	"t1210"	"20220804"
91	2	88	"t1211"	"20220804"
208	0	206	"t1212"	"20220804"
135	0	135	"t1213"	"20220804"
72	1	71	"t1215"	"20220804"
72	0	72	"t1216"	"20220804"
53	0	52	"t1217"	"20220804"
227	0	226	"t1218"	"20220804"
179	0	179	"t1219"	"20220804"
1552	6	1518	"t1261"	"20220804"
35	0	34	"t1262"	"20220804"
119	0	118	"t1263"	"20220804"
28	0	21	"t1401"	"20220804"
168	1	166	"t1402"	"20220804"
26	3	23	"t1403"	"20220804"
165	0	164	"t1405"	"20220804"
215	0	205	"t1406"	"20220804"
173	2	171	"t1407"	"20220804"
259	0	258	"t1408"	"20220804"
25	3	22	"t1409"	"20220804"
37	2	26	"t1411"	"20220804"
121	0	118	"t1412"	"20220804"
49	0	49	"t1413"	"20220804"
90	1	87	"t1414"	"20220804"
69	0	69	"t1415"	"20220804"
66	0	66	"t1416"	"20220804"
146	2	144	"t1417"	"20220804"
438	4	431	"t1418"	"20220804"
97	0	96	"t1419"	"20220804"
60	0	60	"t1420"	"20220804"
316	4	305	"t1421"	"20220804"
16	0	16	"t1422"	"20220804"
25	0	25	"t1423"	"20220804"
39	0	38	"t1424"	"20220804"
86	0	83	"t1425"	"20220804"
37	0	37	"t1426"	"20220804"
101	0	101	"t1427"	"20220804"
202	0	201	"t1428"	"20220804"
80	0	79	"t1429"	"20220804"
21	0	20	"t1430"	"20220804"
263	5	254	"t1432"	"20220804"
5	0	5	"t1433"	"20220804"
311	3	306	"t1434"	"20220804"
144	0	144	"t1435"	"20220804"
22	0	22	"t1436"	"20220804"
112	1	111	"t1438"	"20220804"
59	1	57	"t1461"	"20220804"
305	2	302	"t1462"	"20220804"
329	1	328	"t1463"	"20220804"
120	0	120	"t1464"	"20220804"
3935	32	3787	"t1465"	"20220804"
86	0	86	"t1601"	"20220804"
62	0	62	"t1602"	"20220804"
113	0	113	"t1603"	"20220804"
47	0	47	"t1604"	"20220804"
53	2	50	"t1605"	"20220804"
87	0	87	"t1606"	"20220804"
141	0	140	"t1607"	"20220804"
41	0	41	"t1608"	"20220804"
147	0	147	"t1609"	"20220804"
92	0	92	"t1610"	"20220804"
73	0	72	"t1611"	"20220804"
373	1	366	"t1661"	"20220804"
36	0	36	"t1801"	"20220804"
24	0	24	"t1802"	"20220804"
47	0	47	"t1803"	"20220804"
53	0	51	"t1804"	"20220804"
70	3	62	"t1805"	"20220804"
67	0	67	"t1807"	"20220804"
44	0	44	"t1808"	"20220804"
6	0	6	"t1809"	"20220804"
47	0	47	"t1810"	"20220804"
70	0	67	"t1811"	"20220804"
51	0	50	"t1812"	"20220804"
6	0	6	"t1813"	"20220804"
19	0	19	"t1814"	"20220804"
10	0	10	"t1815"	"20220804"
37	0	37	"t1816"	"20220804"
98	1	97	"t1817"	"20220804"
61	1	57	"t1818"	"20220804"
102	0	101	"t1819"	"20220804"
17	0	15	"t1820"	"20220804"
99	0	97	"t1861"	"20220804"
156	1	154	"t1862"	"20220804"
351	2	346	"t1863"	"20220804"
29	0	29	"t1864"	"20220804"
15	1	12	"t2001"	"20220804"
188	0	188	"t2002"	"20220804"
50	0	49	"t2003"	"20220804"
20	0	19	"t2004"	"20220804"
85	1	84	"t2005"	"20220804"
2	0	2	"t2006"	"20220804"
1	0	0	"t2007"	"20220804"
25	0	24	"t2008"	"20220804"
7	0	7	"t2010"	"20220804"
83	0	82	"t2011"	"20220804"
25	1	24	"t2013"	"20220804"
22	0	20	"t2014"	"20220804"
407	0	399	"t2061"	"20220804"
57	0	57	"t2062"	"20220804"
160	0	158	"t2063"	"20220804"
7	0	7	"t2201"	"20220804"
123	1	121	"t2202"	"20220804"
103	0	103	"t2203"	"20220804"
72	0	72	"t2204"	"20220804"
94	0	92	"t2205"	"20220804"
92	1	91	"t2206"	"20220804"
42	0	42	"t2207"	"20220804"
31	0	31	"t2208"	"20220804"
52	0	52	"t2209"	"20220804"
68	0	68	"t2210"	"20220804"
77	1	75	"t2211"	"20220804"
96	0	96	"t2212"	"20220804"
157	0	147	"t2213"	"20220804"
131	0	131	"t2214"	"20220804"
268	0	268	"t2215"	"20220804"
106	0	106	"t2216"	"20220804"
1029	13	995	"t2261"	"20220804"
309	0	303	"t2262"	"20220804"
189	0	188	"t2263"	"20220804"
62	0	62	"t2264"	"20220804"
287	0	287	"t2401"	"20220804"
102	0	102	"t2402"	"20220804"
260	3	254	"t2403"	"20220804"
136	0	136	"t2404"	"20220804"
79	0	79	"t2405"	"20220804"
55	0	54	"t2406"	"20220804"
76	5	69	"t2407"	"20220804"
202	0	202	"t2408"	"20220804"
88	0	88	"t2409"	"20220804"
82	0	82	"t2410"	"20220804"
180	0	179	"t2411"	"20220804"
147	1	146	"t2413"	"20220804"
42	0	42	"t2414"	"20220804"
264	2	262	"t2415"	"20220804"
113	0	112	"t2416"	"20220804"
92	0	91	"t2417"	"20220804"
181	0	181	"t2461"	"20220804"
239	1	238	"t2462"	"20220804"
318	0	318	"t2463"	"20220804"
507	3	500	"t2464"	"20220804"
276	0	271	"t2465"	"20220804"
247	0	247	"t2466"	"20220804"
115	0	114	"t2467"	"20220804"
189	0	188	"t2468"	"20220804"
679	3	664	"t2469"	"20220804"
39	0	39	"t2470"	"20220804"
194	0	193	"t2471"	"20220804"
148	0	148	"t2472"	"20220804"
235	0	235	"t2473"	"20220804"
156	0	155	"t2474"	"20220804"
464	1	457	"t2475"	"20220804"
94	1	92	"t2476"	"20220804"
194	0	192	"t2477"	"20220804"
181	0	180	"t2478"	"20220804"
267	1	264	"t2479"	"20220804"
95	0	93	"t2601"	"20220804"
36	0	35	"t2602"	"20220804"
48	0	48	"t2603"	"20220804"
110	2	103	"t2604"	"20220804"
71	0	71	"t2605"	"20220804"
147	0	147	"t2607"	"20220804"
13	0	13	"t2608"	"20220804"
122	0	121	"t2609"	"20220804"
106	0	106	"t2610"	"20220804"
82	0	82	"t2611"	"20220804"
55	0	55	"t2612"	"20220804"
95	0	94	"t2613"	"20220804"
381	4	373	"t2661"	"20220804"
105	0	105	"t2801"	"20220804"
35	0	35	"t2802"	"20220804"
169	0	169	"t2803"	"20220804"
20	0	20	"t2804"	"20220804"
90	0	89	"t2805"	"20220804"
105	0	104	"t2806"	"20220804"
29	0	29	"t2807"	"20220804"
159	0	159	"t2808"	"20220804"
23	0	21	"t2809"	"20220804"
51	0	51	"t2810"	"20220804"
54	0	54	"t2811"	"20220804"
58	0	58	"t2812"	"20220804"
98	0	97	"t2813"	"20220804"
114	0	114	"t2814"	"20220804"
38	0	38	"t2815"	"20220804"
61	0	61	"t2816"	"20220804"
126	0	126	"t2817"	"20220804"
30	0	30	"t2818"	"20220804"
100	0	99	"t2819"	"20220804"
200	0	197	"t2861"	"20220804"
378	3	370	"t2862"	"20220804"
78	0	78	"t3001"	"20220804"
27	0	27	"t3002"	"20220804"
275	0	273	"t3003"	"20220804"
60	0	60	"t3004"	"20220804"
13	0	13	"t3005"	"20220804"
80	0	80	"t3006"	"20220804"
63	0	63	"t3007"	"20220804"
21	0	21	"t3008"	"20220804"
62	1	61	"t3009"	"20220804"
69	0	69	"t3010"	"20220804"
12	0	12	"t3011"	"20220804"
43	0	43	"t3012"	"20220804"
26	1	25	"t3013"	"20220804"
1	0	1	"t3014"	"20220804"
93	0	93	"t3015"	"20220804"
81	0	81	"t3016"	"20220804"
243	0	242	"t3017"	"20220804"
30	0	30	"t3018"	"20220804"
349	0	349	"t3019"	"20220804"
31	1	29	"t3020"	"20220804"
515	1	513	"t3021"	"20220804"
110	0	109	"t3022"	"20220804"
118	0	114	"t3023"	"20220804"
238	0	238	"t3024"	"20220804"
78	0	78	"t3025"	"20220804"
43	0	41	"t3026"	"20220804"
107	1	106	"t3027"	"20220804"
53	0	53	"t3028"	"20220804"
98	0	98	"t3029"	"20220804"
108	1	104	"t3030"	"20220804"
179	3	176	"t3031"	"20220804"
93	0	91	"t3061"	"20220804"
233	0	231	"t3062"	"20220804"
118	0	118	"t3063"	"20220804"
1606	14	1579	"t3064"	"20220804"
10	0	9	"t3201"	"20220804"
102	1	98	"t3202"	"20220804"
95	0	95	"t3203"	"20220804"
124	0	124	"t3204"	"20220804"
42	0	42	"t3205"	"20220804"
129	0	129	"t3206"	"20220804"
92	0	92	"t3207"	"20220804"
167	1	166	"t3208"	"20220804"
64	0	64	"t3209"	"20220804"
177	1	176	"t3210"	"20220804"
131	0	131	"t3211"	"20220804"
42	0	42	"t3212"	"20220804"
118	0	118	"t3213"	"20220804"
208	0	208	"t3214"	"20220804"
140	0	139	"t3215"	"20220804"
22	0	22	"t3216"	"20220804"
78	0	78	"t3217"	"20220804"
71	0	71	"t3218"	"20220804"
453	1	441	"t3261"	"20220804"
801	3	790	"t3262"	"20220804"
42	1	41	"t3263"	"20220804"
